	SRR23389262_bracken_species	SRR23389263_bracken_species	SRR23389264_bracken_species	SRR23389265_bracken_species	SRR23389266_bracken_species	SRR23389267_bracken_species	SRR23389268_bracken_species	SRR23389269_bracken_species	SRR23389270_bracken_species	SRR23389272_bracken_species
418240	47149	47300	10663	49896	17206	22947	21552	18667	56848	12507
2479767	4178	5558	837	15555	2764	17649	516	3103	11871	585
2877527	239	271	86	267	237	240	26	61	770	583
40520	4098	8085	3933	17809	3335	3867	657	6938	14863	1562
1796616	384	446	184	392	388	298	36	129	792	134
33035	360	513	155	511	536	398	22	157	729	452
1912897	301	429	181	324	269	322	33	111	807	994
1322	296	662	167	413	540	357	16	97	644	966
2779518	222	266	65	90	144	169	10	50	261	64
39485	27567	12583	17775	155	8489	29592	16	658	2334	122
2763672	27089	16063	2063	7049	1455	14299	40	994	7993	314
166486	13016	4680	22542	4584	4631	4494	184	1938	21953	1205
301301	1811	2723	1046	1113	1677	3931	219	737	4243	455
2763062	1436	1066	1193	550	852	1075	43	446	4339	356
39488	11593	5918	4056	8541	5960	6772	146	4077	12536	434
410072	8812	6386	2606	4339	7482	840	465	3714	4649	1191
116085	1077	2268	1574	4263	801	956	122	1003	6693	585
33043	665	506	120	226	208	347	62	84	675	134
751585	261	465	162	667	202	248	10	140	693	59
649756	8314	17753	5492	40007	1746	28391	137	3238	28113	3260
105841	77	111	35	104	75	109	6	31	160	78
1229621	55	83	28	59	51	78	2	32	154	64
33038	5534	1987	1815	2671	2054	3832	286	1387	4711	35781
33039	1087	18390	10617	2223	646	1245	168	4444	18784	57186
46228	607	991	282	705	466	4554	49	3121	20421	955
88431	2342	11865	8061	12286	1323	1607	431	7395	20526	1935
39486	1666	3683	3157	3404	591	3348	109	1188	3983	715
29347	1000	978	674	1137	1998	710	98	267	2457	1600
89153	222	282	77	271	140	173	12	37	271	263
1871021	222	182	70	168	126	157	30	68	348	130
66219	57	55	16	43	48	41	4	26	142	30
208479	764	484	310	1088	1652	644	90	322	597	863
333367	391	252	148	672	333	188	39	162	514	269
1531	228	420	161	322	219	322	43	117	412	451
45851	488	782	141	239	499	385	4	152	877	107
831	154	244	41	99	89	167	19	44	375	50
43305	112	197	61	62	70	102	2	37	298	24
185008	105	219	50	60	68	78	14	38	306	27
2763670	510	589	149	187	275	5582	18	753	666	140
84030	256	412	188	311	108	361	51	61	446	108
29375	127	119	44	61	93	119	16	62	200	118
29370	123	107	38	75	84	120	10	52	153	122
168384	314	376	101	288	246	261	77	108	564	132
1653434	302	182	306	181	2100	632	24	182	323	354
2696063	79	94	31	53	49	57	10	27	121	73
1727145	73	61	25	50	37	54	3	24	127	48
433286	74	101	37	41	61	52	2	29	117	51
3039116	62	97	30	63	48	77	5	11	147	42
2068655	281	409	63	141	139	169	16	42	398	61
185007	197	522	131	71	166	200	3	95	621	54
2490855	104	120	36	77	81	81	12	43	247	86
617123	70	113	34	50	43	38	3	33	144	23
2763667	156	305	126	309	264	179	9	113	616	75
2763669	79	173	46	199	67	152	16	30	186	80
2709410	79	92	25	52	31	58	4	27	125	15
