	SRR23389262_bracken_species	SRR23389263_bracken_species	SRR23389264_bracken_species	SRR23389265_bracken_species	SRR23389266_bracken_species	SRR23389267_bracken_species	SRR23389268_bracken_species	SRR23389269_bracken_species	SRR23389270_bracken_species	SRR23389272_bracken_species	SRR23389273_bracken_species	SRR23389274_bracken_species	SRR23389275_bracken_species	SRR23389276_bracken_species	SRR23389277_bracken_species	SRR23389278_bracken_species	SRR23389279_bracken_species	SRR23389280_bracken_species	SRR23389281_bracken_species	SRR23389283_bracken_species	SRR23389284_bracken_species	SRR23389285_bracken_species	SRR23389291_bracken_species	SRR23389292_bracken_species	SRR23389293_bracken_species	SRR23389294_bracken_species	SRR23389295_bracken_species	SRR23389297_bracken_species	SRR23389298_bracken_species	SRR23389299_bracken_species
418240	47149	47300	10663	49896	17206	22947	21552	18667	56848	12507	20056	19625	29821	72142	28455	35172	54295	72441	25343	29342	29763	41864	14335	10592	19962	6720	33262	33940	40449	23680
2479767	4178	5558	837	15555	2764	17649	516	3103	11871	585	8927	1923	6920	6546	2584	4231	15478	1509	10337	11933	831	1656	3154	1868	12715	7803	4926	5147	7216	2826
2877527	239	271	86	267	237	240	26	61	770	583	221	779	294	223	471	480	1141	382	267	215	729	495	549	261	329	395	644	623	416	255
40520	4098	8085	3933	17809	3335	3867	657	6938	14863	1562	9213	4019	8682	15713	21013	12055	7376	3610	11988	5775	2831	5608	2677	3714	6367	2101	5876	3164	7420	11858
1796616	384	446	184	392	388	298	36	129	792	134	405	505	415	396	400	617	505	659	384	662	297	587	505	657	434	282	444	578	352	277
33035	360	513	155	511	536	398	22	157	729	452	297	1153	398	440	586	558	771	631	423	433	325	714	831	535	1041	221	714	614	368	308
1912897	301	429	181	324	269	322	33	111	807	994	311	1649	420	329	1738	571	810	657	370	612	249	1205	1360	343	735	499	959	705	423	207
1322	296	662	167	413	540	357	16	97	644	966	324	2458	318	337	3041	589	786	3464	372	1278	1816	1985	1130	464	1246	291	838	3829	453	266
2779518	222	266	65	90	144	169	10	50	261	64	175	210	206	227	201	451	98	136	152	169	71	209	154	182	256	89	425	203	180	143
39485	27567	12583	17775	155	8489	29592	16	658	2334	122	22203	8477	3779	1912	3517	1314	3608	7943	3763	2192	6036	8927	10448	9867	3678	2245	6126	6035	11715	10050
2763672	27089	16063	2063	7049	1455	14299	40	994	7993	314	7966	3058	12702	2374	4116	12142	4243	14168	4189	1086	2294	1725	3823	3619	4436	902	1139	1804	4620	18703
166486	13016	4680	22542	4584	4631	4494	184	1938	21953	1205	7077	9361	11821	3617	7880	6538	10626	3690	4538	8723	5905	24138	4554	4557	70503	20264	6198	6779	4089	4583
301301	1811	2723	1046	1113	1677	3931	219	737	4243	455	4199	2456	3550	1783	2930	3252	1319	3687	2704	2066	1279	3054	1599	6664	2068	2040	3588	2729	4005	2414
2763062	1436	1066	1193	550	852	1075	43	446	4339	356	1556	1402	1864	685	882	1371	1031	788	4188	1471	841	2973	3926	1437	3854	1982	1919	1320	642	892
39488	11593	5918	4056	8541	5960	6772	146	4077	12536	434	6694	2135	7202	10997	8969	7889	2186	8555	6273	5162	2752	6956	932	3772	7573	953	5380	3652	9145	4502
410072	8812	6386	2606	4339	7482	840	465	3714	4649	1191	5649	1391	3965	8135	22449	3057	2010	12145	6490	6649	774	8921	1209	1982	4348	4241	1526	1334	2466	5723
116085	1077	2268	1574	4263	801	956	122	1003	6693	585	2942	1033	2492	4311	2524	3585	778	1436	2852	1071	1044	3129	746	1912	1401	1194	951	1944	2792	1775
33043	665	506	120	226	208	347	62	84	675	134	502	856	852	1350	1468	937	423	218	1104	415	147	512	293	359	436	130	304	477	46842	626
751585	261	465	162	667	202	248	10	140	693	59	398	886	1924	7656	6902	738	168	134	1700	302	216	276	142	338	180	185	298	410	3212	2499
649756	8314	17753	5492	40007	1746	28391	137	3238	28113	3260	4158	29742	3307	35256	23443	5815	37622	9069	4570	6542	5747	18289	2077	1493	3323	20784	13667	3777	12575	1466
