	SRR23389262_bracken_species	SRR23389263_bracken_species	SRR23389264_bracken_species	SRR23389265_bracken_species	SRR23389266_bracken_species	SRR23389267_bracken_species	SRR23389268_bracken_species	SRR23389269_bracken_species	SRR23389270_bracken_species	SRR23389272_bracken_species
418240	47010	46906	10558	49520	17117	22735	21471	18508	56861	12484
2479767	4171	5510	834	15443	2767	17469	511	3065	11875	585
2877527	238	269	83	267	231	238	26	60	770	583
40520	4088	8021	3893	17647	3322	3830	657	6880	14866	1561
1796616	384	445	182	392	381	295	36	127	792	133
33035	359	510	154	507	535	393	21	157	729	452
1912897	298	425	181	321	269	321	33	109	807	993
1322	296	660	167	411	537	350	16	97	645	966
2779518	221	265	65	90	143	169	10	50	261	64
39485	27496	12488	17654	152	8417	29279	16	648	2335	121
2763672	27010	15920	2049	6993	1445	14175	40	986	7994	313
166486	12975	4655	22350	4548	4572	4454	184	1919	21960	1203
301301	1801	2703	1038	1108	1671	3886	219	730	4244	455
2763062	1431	1056	1179	545	843	1065	43	444	4341	356
39488	11569	5870	4027	8480	5910	6698	145	4043	12540	430
410072	8796	6339	2597	4298	7429	825	462	3683	4650	1187
116085	1070	2243	1557	4238	794	949	121	1001	6694	584
33043	663	501	119	225	206	343	62	83	675	134
751585	259	461	162	658	202	247	10	140	693	59
649756	8296	17596	5457	39714	1729	28091	137	3208	28122	3252
105841	77	111	34	104	75	109	6	31	160	78
1229621	55	81	27	58	51	78	2	32	154	64
33038	5521	1973	1800	2650	2045	3793	287	1379	4714	35714
33039	1080	18228	10541	2209	645	1233	168	4410	18785	57088
46228	606	982	279	696	463	4509	48	3092	20424	955
88431	2339	11762	7985	12197	1316	1592	430	7328	20541	1932
39486	1659	3663	3124	3376	586	3297	108	1180	3984	712
29347	998	966	667	1128	1974	707	98	265	2457	1593
89153	222	280	77	270	138	173	12	37	271	262
1871021	222	181	69	167	125	155	29	67	348	130
66219	57	53	16	42	48	41	4	26	142	30
208479	761	478	307	1081	1638	640	90	323	597	862
333367	388	249	147	667	328	187	39	162	514	268
1531	228	417	161	319	217	319	43	113	412	450
45851	487	773	141	237	493	382	4	149	877	107
831	154	240	41	99	89	165	19	44	376	49
43305	112	193	60	62	68	102	2	37	298	24
185008	105	217	49	60	67	78	14	38	306	27
2763670	509	586	148	186	273	5524	18	742	666	140
84030	256	408	186	311	108	355	51	60	446	108
29375	127	119	44	61	93	116	16	61	200	117
29370	123	106	38	75	84	119	10	51	153	122
168384	314	374	102	287	243	259	76	106	564	132
1653434	301	180	304	179	2086	625	24	179	323	352
2696063	79	93	31	53	49	55	10	26	121	73
1727145	73	60	25	49	37	54	3	24	127	48
433286	74	101	37	41	60	52	2	29	117	51
3039116	62	95	30	62	48	77	5	11	147	42
2068655	281	406	63	140	139	168	16	42	398	61
185007	197	519	128	70	163	199	3	95	621	54
2490855	103	120	36	76	79	81	12	43	247	86
617123	70	113	34	51	42	35	3	33	144	23
2763667	156	300	123	308	260	179	9	113	616	75
2763669	79	173	46	198	67	151	16	30	186	80
2709410	79	91	24	52	31	57	4	27	125	15
1679721	37	29	3	27	37	40	5	14	81	19
2929492	9943	1787	1737	3138	17287	428	305	697	2218	29
2929494	8285	1666	2011	2903	4648	490	346	779	2096	27
2929488	4446	777	1328	1597	1706	415	176	308	854	98
2929489	2153	1035	565	855	905	635	181	218	1500	75
2929491	1069	1092	2612	1909	1156	1217	200	695	1950	21
2929493	926	6185	680	819	699	392	149	267	1083	37
2929495	1043	1080	8923	7059	2724	4354	625	1686	3433	39
2929490	618	701	674	623	444	303	107	127	1133	6
853	18923	23040	40585	32841	29038	22745	10706	12127	45787	579
411483	1069	1161	514	587	717	314	145	156	1823	93
1160721	16721	94	93	250	70	117	3	382	4021	24
2564099	899	40	38	519	80	110	45	52	323	6
1161942	469	54	97	76	83	105	4	73	180	9
438033	91	204	34	182	108	114	6	37	302	58
2714355	891	934	131	3178	89	512	24	343	2572	26
2714353	518	326	276	721	49	181	12	75	1179	10
292800	904	563	705	2463	3777	622	92	330	882	493
1550024	746	398	346	1978	316	210	32	71	543	59
169435	562	157	143	1668	137	228	41	95	858	96
2093857	353	467	1037	4280	290	432	20	165	2398	114
2108523	313	597	61	1362	203	233	8	70	1015	64
2714358	261	399	231	764	111	164	21	102	527	72
214851	211	1832	1124	1667	71	135	17	434	1284	50
2763056	151	219	132	368	83	79	14	63	754	12
2994078	55	29	11	47	19	22	3	14	39	7
2766537	58	15	17	38	23	30	2	16	77	8
2666138	37	27	14	29	11	19	2	24	71	3
1981510	125	50	44	60	21	167	3	65	632	6
1796620	94	52	12	80	16	30	12	18	96	8
2780922	70	63	69	111	39	44	3	28	125	13
2488810	27	7	5	16	9	15	2	4	33	7
1521	10	5	7	18	5	3	4	3	53	24
2507162	43	32	5	33	10	12	3	11	47	7
2576756	42	27	7	31	9	21	2	15	68	10
253239	24	22	18	41	42	21	2	21	52	4
411486	912	670	341	1136	551	612	185	233	809	275
1042156	115	166	61	90	89	122	5	49	309	22
97138	37	19	12	19	17	14	4	15	42	13
2507159	12	6	3	5	3	11	3	17	15	10
1502	117	118	248	78	50	1423	14	84	170	95
1491	53	38	28	57	51	77	15	93	86	69
238834	20	32	8	13	17	33	4	11	48	29
1501	15	27	6	14	18	14	3	29	58	23
1493	14	9	5	10	8	6	2	8	23	19
704125	13	10	14	3	6	26	2	20	27	5
1534	8	10	3	9	5	11	2	4	43	8
154046	511	580	270	1609	376	686	77	336	564	354
384636	148	138	50	72	67	129	27	37	266	117
461876	8	11	7	2	6	5	17	12	11	2
2576307	10	4	6	5	4	2	2	3	21	25
3036945	19	13	5	23	15	11	2	5	27	9
1496	1439	1967	737	1359	711	767	150	394	1898	582
89152	18	13	10	15	13	25	3	9	47	48
1505	5	6	5	4	7	12	2	10	17	26
39496	455	1513	513	464	3661	228	15	135	1428	178
2841037	138	147	42	135	96	114	7	36	205	148
2841528	118	209	55	117	83	506	6	89	299	37
2764325	249	90	90	159	104	67	22	53	554	108
1736	69	60	22	43	12	15	3	13	111	60
2041044	36	20	18	80	27	21	2	13	122	5
1297617	244	207	62	869	91	160	14	93	421	21
2086584	239	174	63	333	153	137	9	73	295	166
2610895	229	180	53	366	266	137	14	63	233	59
1776384	66	33	23	132	14	28	2	12	51	27
114527	22	30	41	22	15	6	45	18	64	119
626937	92	106	17	31	27	79	5	16	80	26
1185412	20	15	22	12	8	14	3	6	30	7
2478954	10276	29	22	49	28	10262	5	11	50	24
100886	6838	65	61	54	25	5903	15	23	129	13
1522	469	235	187	594	257	283	27	296	559	170
1547	395	79	58	205	81	238	23	62	311	419
29348	16	15	4	8	23	13	2	3	95	27
2583452	150	61	41	75	52	237	3	26	72	130
1796635	110	181	89	156	63	452	16	59	271	114
1982626	97	5179	1263	1397	1462	90	12	300	2180	30
39483	91	200	51	680	108	178	25	48	210	42
