	mean_abundance
573	2.195988
1934254	0.092791
2488567	0.014767
1134687	0.449564
571	0.015669
244366	0.262326
2058152	0.006395
548	0.024506
2153354	0.001105
1463165	0.006134
562	2.931221
1560339	0.021279
1827481	0.000262
2724468	0.001366
2596949	0.004971
158836	0.043808
550	0.025785
546	0.011657
545	0.002209
575	0.003140
54291	0.003866
577	0.001279
83655	0.003459
2714951	0.001279
2545798	0.000581
158822	0.001599
28901	0.022355
61647	0.001860
138072	0.000203
1199245	0.000000
1158459	0.001773
208223	0.002006
563	0.000407
622	0.001105
566	0.002267
891974	0.000087
630	4.647674
935293	0.001948
615	0.028663
28151	0.000058
138074	0.000174
82996	0.001424
41202	0.000116
9	0.007820
1484158	0.000174
592316	0.000203
549	0.000698
470934	0.000552
1076550	0.000145
59814	0.000349
553	0.000291
1458355	0.000174
665914	0.000203
1922217	0.000581
338565	0.000087
2681984	0.000116
82987	0.000465
29471	0.001221
2042057	0.000116
204042	0.000465
1778540	0.000552
584	0.003140
585	0.000087
40576	0.000291
2218628	0.000029
636	0.000174
456327	7.712849
339	0.101105
56459	0.000000
346	0.005116
53413	0.000058
56454	0.000436
40324	0.007936
2072413	0.000116
2211160	0.000000
2691571	0.000174
1904944	0.000145
2770322	0.000000
216778	0.000116
128785	0.000552
314722	0.000203
2763317	0.000000
2290922	0.000000
435897	0.000087
262324	0.000000
1605891	0.000000
2698682	0.000029
2761107	0.000058
2508168	0.000058
2006110	0.000000
2202149	0.000058
2771436	0.000000
2371	0.000756
2589080	0.000000
2501295	0.000000
582702	0.000000
91844	2.348576
114186	0.000000
2306583	0.000145
2587844	0.000145
2562282	0.000000
2497861	0.000029
29570	0.000000
29571	0.000000
2746	0.000610
507626	0.000029
115561	0.000145
1883414	0.000029
1055101	0.000058
698828	0.000058
2014542	0.000407
1094342	0.000000
1821621	0.000000
2614693	0.000000
158327	0.000000
1144748	0.000000
651	1.829535
654	0.000174
652	0.000000
645	0.000843
644	0.000320
2560028	0.000116
347534	0.000000
511062	0.000000
83771	0.002064
29442	1.974041
47878	0.001279
294	0.003227
76758	0.000029
47883	0.000087
76760	0.000494
380021	0.000349
200451	0.000000
129817	0.000000
43263	0.000436
287	0.005552
300	0.000174
301	0.000436
53412	0.000029
53408	0.000029
2479392	0.000174
2054914	0.000320
2725477	0.000233
2731681	0.000029
2605424	0.000552
1930532	0.000029
1881017	0.000000
1573718	0.000000
253237	0.000378
2726956	0.000000
1898684	0.000262
1856685	0.000000
1294143	0.000000
2664899	0.000058
2604941	0.000000
2587845	0.000000
2518644	0.000000
2320270	0.000058
2083053	0.000000
1981174	0.000000
1855380	0.000029
1827300	0.000116
1573712	0.000029
1028989	0.000058
658629	0.000000
143813	0.000000
303	0.019302
76759	0.001076
47880	0.000029
47885	0.000669
70775	0.000029
316	0.005378
47886	0.000203
74829	0.000000
33069	0.000145
36746	0.000785
321662	0.000494
587753	0.001134
47884	0.000000
296	0.000320
321846	0.000494
101564	0.000465
1691904	0.000320
219572	0.000000
198620	0.000640
237610	0.000087
1245526	0.000000
364197	0.000000
319939	0.000058
158627	0.000000
65741	0.000029
43306	0.000000
1274359	0.000785
797277	0.000000
487184	0.000000
312306	0.000058
244566	0.000000
191390	0.000000
122355	0.000174
53407	0.000000
69964	0.000087
354	0.000000
1827285	0.003430
2004644	0.000640
2743575	0.002878
2004646	0.000320
1407071	0.000029
106649	0.004622
48296	0.003372
470	0.002413
1530123	0.001047
106654	0.000029
40214	0.010000
40216	0.002471
108980	0.001802
106648	0.000436
108981	0.000349
28090	0.002384
40215	0.001512
756892	0.000320
29430	0.000262
1871111	0.000000
487316	0.000000
34062	0.005959
480	0.003023
476	0.000087
2772254	0.000029
1699623	0.000029
334543	0.000058
747	1.144535
729	1.352267
727	0.369390
249188	0.018750
726	0.683110
47735	0.001570
758	0.000669
75985	0.007994
85404	0.001134
732	0.144593
51161	0.000029
731	0.002907
109472	0.000029
738	0.000727
1823760	0.000058
1049	0.000000
80679	0.000174
1166950	0.000000
1050	0.000029
37487	0.000000
437505	0.000000
1811807	0.000000
1972068	0.000145
1860122	0.000000
1579979	0.000000
108010	0.000000
1420917	0.000000
490759	0.000000
1420916	0.000029
28108	0.000029
2183582	0.000000
1526571	0.000000
2686359	0.000000
2489595	0.000116
2487742	0.000000
1930557	0.000087
558541	0.000000
62322	0.000058
1390185	0.000000
166935	0.000029
2497879	0.000029
314282	0.000000
674	0.000349
1891186	0.000029
666	0.001512
680	0.000058
2479546	0.000000
693153	0.000000
29494	0.000087
74109	0.000087
38293	0.000116
1543721	0.000029
113267	0.000000
1705394	0.000000
2738883	0.000000
252514	0.000000
359370	0.000058
48074	0.000000
2708301	0.000000
930806	0.000000
2303332	0.000000
155077	0.000000
1432792	0.000087
414	0.000058
702114	0.000116
1808979	0.000000
417	0.000203
456	0.000000
450	0.000029
1810504	0.000000
2718	0.124128
1635327	0.000000
96344	0.589273
164546	0.381395
106590	0.001453
119219	0.000029
82541	0.000058
82633	0.000029
68895	0.000407
28450	0.787674
342113	0.000000
292	0.000087
95486	0.000087
152500	0.000552
758782	0.000029
2571746	0.000000
2217913	0.000000
1740163	0.000000
41899	0.000029
337	0.000203
305	0.168430
190721	0.000349
329	0.000029
105219	0.000000
134537	0.000523
2571748	0.000000
2571747	0.000000
60548	0.000000
948107	0.000000
92647	0.000000
2026199	0.000000
75105	0.000029
2518599	0.000058
445709	0.000000
93222	0.000029
47671	0.486047
1743174	0.000000
576610	0.062180
180282	0.016657
80866	0.038953
742013	0.000087
1920191	0.000174
2126319	0.001919
1034889	0.000058
662548	0.000029
434008	0.000029
2762322	0.000087
1795631	0.000000
434014	0.000000
34073	0.000959
285	0.005203
1082851	0.000029
225991	0.000465
1562974	0.000087
225992	0.000029
160825	0.000203
358220	0.000145
2478662	0.000203
2743470	0.000145
1858609	0.000116
1842533	0.000000
1926868	0.000087
553814	0.000058
80869	0.000000
721785	0.000145
2184519	0.000262
2651974	0.000203
795665	0.000087
2716225	0.000087
47421	0.000000
1763535	0.000000
2714924	0.000000
2714925	0.000000
1715720	0.000756
2109914	0.000058
1658672	0.002558
2741720	0.000029
1842727	0.000000
192843	0.000000
94132	0.000320
1678129	0.000087
1678128	0.000000
179636	0.000145
2109915	0.000000
2109913	0.000029
2116657	0.000087
80880	0.000000
364317	0.000087
216465	0.000000
1436290	0.000000
85698	0.004360
217203	0.000872
2282475	0.000000
1758194	0.000174
32002	0.000000
511	0.003517
463040	0.000000
463025	0.000058
1416803	0.000000
463014	0.000000
521	0.000000
1746199	0.000029
1331258	0.000000
75697	0.000116
2488560	0.000058
643674	0.000029
302406	0.000000
90245	0.000058
945844	0.000930
1707785	0.000320
1593482	0.000000
2709303	0.000000
1141883	0.000087
321985	0.000000
2045208	0.000000
864828	0.000116
321983	0.000000
2072590	0.000000
871742	0.000029
863372	0.001453
2014887	0.000087
92645	0.000000
80842	0.000000
964	0.000000
2728020	0.000087
2728021	0.000029
158899	0.000000
279058	0.000000
279113	0.000000
1644131	0.000000
55508	0.000087
29581	0.000029
847	0.001192
401471	0.000029
2601898	0.000000
1809410	0.000000
1658665	0.000407
28068	0.000320
1296669	0.000058
946333	0.000203
34029	0.000058
2082386	0.000203
105560	0.000087
413882	0.000087
1768242	0.000116
34103	0.000087
76731	0.000262
392593	0.000058
1050370	0.000058
2697032	0.000029
1834205	0.001250
864051	0.000203
1469502	0.000000
2584944	0.007326
2494234	0.004041
485	0.026599
488	0.192297
28449	0.068517
495	0.080581
1853276	0.000378
641148	0.052180
655307	0.004448
490	0.104128
484	0.017994
486	0.021076
483	0.153401
1853278	0.000785
326523	0.000233
539	0.021047
2290923	0.000000
505	0.141744
504	0.008924
153493	0.000058
96942	0.000029
1196083	0.000000
2059672	0.000000
1108595	0.000000
1906741	0.000174
1192162	0.000000
168471	0.000000
748280	0.000000
57480	0.000000
1981880	0.000000
311182	0.000233
1842540	0.000029
2211108	0.000000
2715678	0.000000
171865	0.000000
1188319	0.000000
63745	0.000029
2732487	0.000058
2732067	0.000029
1914471	0.000000
2016596	0.000000
2027405	0.000174
748247	0.000000
198107	0.000029
418699	0.000000
96773	0.000000
2231055	0.000000
259537	0.000029
1735038	0.000029
1904640	0.000029
327160	0.000000
2653203	0.003750
2219696	0.003663
2596913	0.002965
1961362	0.004448
1390395	0.002791
1517554	0.002006
2565555	0.002180
2681549	0.000814
1523415	0.001337
2698679	0.000640
1517551	0.000872
1813879	0.001134
1938607	0.000669
2735134	0.000901
2599297	0.001047
2711156	0.000116
2492837	0.000203
1327635	0.000988
1030157	0.000262
745310	0.000901
2764186	0.000174
2714944	0.000320
2714943	0.000233
2319844	0.000029
304378	0.000785
2714942	0.000145
2698828	0.000000
2594473	0.000116
1549858	0.003953
152682	0.006366
424800	0.002064
13689	0.002907
1560345	0.001541
653931	0.001541
1609977	0.001483
397260	0.000930
160791	0.000145
93064	0.001192
363835	0.000436
2071607	0.000262
941907	0.000203
1045317	0.000174
1315974	0.000116
627192	0.000145
2082188	0.000233
2676077	0.000233
2072936	0.000145
1843368	0.000058
2733867	0.000058
1855519	0.000000
407020	0.000087
13690	0.003547
135719	0.000320
1673076	0.000320
76947	0.000029
1332080	0.000349
332056	0.000000
120107	0.000349
332055	0.000116
46429	0.000000
1874061	0.000262
2565556	0.000174
2486273	0.000058
1866325	0.000029
33050	0.000262
267128	0.000058
1515612	0.000087
1609758	0.000000
1016987	0.000087
2675225	0.000058
702113	0.000000
158500	0.000116
1176536	0.000029
169176	0.000000
48935	0.000058
2711215	0.000291
2762748	0.000203
1892855	0.000349
335406	0.000029
1850238	0.000349
2026624	0.000000
1842535	0.000058
2759707	0.000000
2725558	0.000000
392610	0.000000
1921510	0.000029
1634516	0.000029
2338327	0.000174
2060312	0.000058
2067415	0.000058
361183	0.000029
645517	0.000029
1982042	0.000029
543877	0.000145
476157	0.000000
2003315	0.000116
2547601	0.000116
2023229	0.000087
1896196	0.000029
1112	0.000029
39960	0.000087
2502843	0.000029
1798193	0.000058
1648404	0.000000
2739433	0.000029
450378	0.000116
1348774	0.000116
114616	0.008983
2202828	0.489709
426117	0.053198
739141	0.010494
2603276	0.009331
925818	0.003663
270351	0.010262
31998	0.005349
2202827	0.005959
2051553	0.007035
269660	0.011134
2202825	0.019593
223967	0.026192
408	0.031134
1882682	0.003169
2057741	0.000843
1197460	0.000727
288000	0.000930
115808	0.000233
858422	0.000640
1404888	0.000203
1223566	0.000087
29448	0.002529
1437360	0.004680
244734	0.000203
1404864	0.000145
1355477	0.000988
1325115	0.000058
1325095	0.000494
1325107	0.000058
1274631	0.000669
190148	0.000581
375	0.000233
2015316	0.006890
2020412	0.010785
1842539	0.039651
1076	0.003081
912	0.000145
943830	0.000058
2267833	0.000756
648995	0.002674
2603277	0.000000
1981173	0.000000
384	0.002355
1335061	0.000029
29449	0.000203
240521	0.000000
396	0.000029
358	0.000843
373	0.000116
359	0.000000
399	0.000058
382	0.000145
380	0.000436
106592	0.000262
1752398	0.000058
879274	0.000233
34021	0.000581
1969821	0.000029
2584466	0.000029
2493678	0.000174
2082387	0.000087
2493681	0.000029
2108445	0.000058
2493675	0.000262
2493673	0.000058
2725666	0.000349
2066070	0.000436
2599600	0.000116
1756988	0.000029
374606	0.000029
1852022	0.000058
2742145	0.000000
2712698	0.000000
2305987	0.000087
1736675	0.000029
2664417	0.000087
2083786	0.000087
400770	0.000174
674703	0.000233
1427356	0.000000
717785	0.000000
53399	0.000145
2233851	0.000262
1069	0.000000
531813	0.000000
426	0.004651
2699395	0.002820
391905	0.000727
655015	0.000058
187303	0.001948
529	0.001279
271865	0.000174
331696	0.000174
2562284	0.000116
7	0.000233
376174	0.000116
1850374	0.000320
573658	0.000349
1482074	0.000174
2742204	0.000058
2712222	0.000029
686597	0.000058
293089	0.000029
2572036	0.000698
1978229	0.000000
199596	0.000058
444444	0.000291
2304600	0.000058
1686310	0.000000
1499308	0.035872
147645	0.002616
2589076	0.000378
2500532	0.001047
2560053	0.000087
34003	0.000000
1545044	0.000203
1077935	0.000029
135740	0.000000
82367	0.000116
266	0.000000
121719	0.000262
42444	0.000000
564137	0.000000
2494550	0.000000
215743	0.000000
2745590	0.000000
2171755	0.000000
2602067	0.000000
1217908	0.000000
1208324	0.000029
911045	0.000000
1968541	0.000058
