Method	taxid	prevalence
Metacontam	2202827	0.540697674418605
Metacontam	426117	0.604651162790698
Metacontam	2020412	0.61046511627907
Metacontam	1867715	0.622093023255814
Metacontam	1792307	0.662790697674419
Metacontam	269660	0.694767441860465
Metacontam	1526658	0.697674418604651
Metacontam	2202825	0.700581395348837
Metacontam	408	0.715116279069767
Metacontam	2202828	0.729651162790698
Metacontam	1842539	0.738372093023256
Metacontam	223967	0.787790697674419
Metacontam	29388	0.813953488372093
Metacontam	651	0.973837209302326
Metacontam	1747	0.982558139534884
Metacontam	630	0.991279069767442
Metacontam	747	0.994186046511628
Metacontam	573	1
Metacontam	562	1
Metacontam	29442	1
Squeegee	2202828	0.729651162790698
Squeegee	1747	0.982558139534884
Squeegee	630	0.991279069767442
Squeegee	747	0.994186046511628
Squeegee	96344	0.997093023255814
Squeegee	573	1
Squeegee	562	1
Squeegee	456327	1
Squeegee	29442	1
Squeegee	1280	1
