	ERR4701918_bracken_species	ERR4701920_bracken_species	ERR4701948_bracken_species	ERR4701949_bracken_species	ERR4701951_bracken_species	ERR4701952_bracken_species	ERR4701954_bracken_species	ERR4701955_bracken_species	ERR4701957_bracken_species	ERR4701958_bracken_species	ERR4701960_bracken_species	ERR4701961_bracken_species	ERR4701963_bracken_species	ERR4701964_bracken_species	ERR4701966_bracken_species	ERR4701967_bracken_species	ERR4701969_bracken_species	ERR4701970_bracken_species	ERR4701972_bracken_species	ERR4701973_bracken_species	ERR4701975_bracken_species	ERR4701977_bracken_species	ERR4701979_bracken_species	ERR4701980_bracken_species	ERR4701981_bracken_species	ERR4701983_bracken_species	ERR4701985_bracken_species	ERR4701986_bracken_species	ERR4701987_bracken_species	ERR4701989_bracken_species	ERR4701991_bracken_species	ERR4701992_bracken_species	ERR4701993_bracken_species	ERR4701995_bracken_species	ERR4701997_bracken_species	ERR4701999_bracken_species	ERR4702001_bracken_species	ERR4702002_bracken_species	ERR4702003_bracken_species	ERR4702005_bracken_species	ERR4702006_bracken_species	ERR4702008_bracken_species	ERR4702009_bracken_species	ERR4702010_bracken_species	ERR4702011_bracken_species	ERR4702013_bracken_species	ERR4702015_bracken_species	ERR4702017_bracken_species	ERR4702018_bracken_species	ERR4702020_bracken_species	ERR4702021_bracken_species	ERR4702022_bracken_species	ERR4702023_bracken_species	ERR4702025_bracken_species	ERR8529713_bracken_species	ERR8529717_bracken_species	ERR8529721_bracken_species	ERR8529725_bracken_species	ERR8529729_bracken_species	ERR8529733_bracken_species	ERR8529737_bracken_species	ERR8529741_bracken_species	ERR8529745_bracken_species	ERR8529749_bracken_species	ERR8529753_bracken_species	ERR8529757_bracken_species	ERR8529761_bracken_species	ERR8529765_bracken_species	ERR8529769_bracken_species	ERR8529773_bracken_species	ERR8529777_bracken_species	ERR8529781_bracken_species
1747	35619	50992	707	1148	1852	2723	1528	740	88623	23593	99387	36389	55802	21982	13787	16411	23500	12414	11255	11359	1955524	1976512	3052028	1521161	1248775	4474800	4226830	110	3811946	4693793	3927264	4857769	832405	260321	111615	152015	193489	115014	538671	1621	1701485	604047	801352	110955	727541	93637	246931	2045	729301	134426	454500	1176	3476203	3204230	1805	437	300	1911	17257	14448	107412	141784	27492	1807	202	246	38180	85271	73080	826	395	3188
33011	1314	2534	155	198	155	232	167	35	764	196	325	227	538	219	516	434	738	321	608	511	6809	5560	5734	3259	1741	6363	9728	7	52110	70376	61901	43766	3583	695	544	607	442	200	1605	12	1011	3742	1068	4141	2738	299	833	12	775	759	617	41	12544	3151	25	5	2	2	11	185	149675	171150	49925	334	8	6	2088	4578	1807	35	19	103
33010	107	170	493	875	486	225	1072	16	370	122	220	144	486	91	1306	1548	2111	1268	796	1066	970	1270	966	424	328	1132	1042	0	1843	2947	2180	1641	125	103	144	120	67	19	952	0	398	225	1155	143	110	66	425	0	168	57	627	3	783	464	9	0	0	0	3	5	2658	2950	834	914	15	16	716	737	344	28	5	9
2559073	58	65	95	105	89	51	60	9	994	183	494	393	1047	294	10549	11892	18656	10019	1138	1049	795	683	1199	585	1971	7987	5764	0	1350	2966	1754	1443	663	228	274	132	121	40	1987	91	146	4278	2213	39	630	104	1039	130	61	805	1258	0	2058	972	13	8	4	5	53	48	73	88	17	190	3	4	34	75	39	2	0	5
3016342	4	3	279	280	241	99	165	28	77	27	45	28	91	21	23	24	29	23	35	20	51	32	27	17	91	247	258	0	149	259	183	160	43	91	8	10	16	2	154	0	80	12	1388	0	21	28	70	0	44	3	725	0	62	43	3	0	0	0	2	0	26	40	9	552	11	10	0	3	3	0	0	0
1750	4	20	174	165	123	91	137	9	67	27	21	28	40	27	104	128	188	108	97	91	36	11	26	6	2	0	5	3	2	4	5	7	20	0	371	136	46	61	6	0	0	14	20	6	5	4	0	0	0	5	12	0	37	12	5	0	0	0	0	0	8	11	9	528	3	6	6	4	8	3	7	25
1744	3	0	323	324	321	626	243	47	486	191	280	186	546	199	423	469	595	376	370	386	14	2	26	18	3	15	54	0	27	50	25	25	0	175	24	9	14	5	54	0	0	0	2158	0	0	60	54	0	5	3	1197	0	3	8	7	0	0	0	0	0	8	4	3	1052	9	16	0	0	0	2	0	0
2017486	7	11	30	34	101	112	50	3	607	268	221	305	733	142	3501	4968	5479	3477	3670	3132	13	5	41	29	4	16	10	0	20	0	13	2	0	0	15	26	251	177	205	0	0	0	0	12	40	0	0	0	3	7	0	4	8	0	180	19	4	0	0	0	0	0	2	179	0	6	0	11	3	21	3	41
2894081	2	3	37	70	54	43	59	18	426	258	243	195	568	116	3117	4277	4671	3058	2963	2517	7	2	34	17	2	0	5	0	13	13	0	4	26	0	11	16	239	178	173	0	0	0	0	5	11	0	10	2	0	0	0	0	3	0	84	5	9	0	0	0	0	0	0	461	2	7	0	9	3	10	4	35
161879	5398	7124	4528	4533	4334	1419	3439	467	8	9	11	12	12	10	211	292	318	207	175	226	251895	164767	865431	555277	4	10	8	0	360	245	359	198	9	21	81	89	223	52	6	12	56	45	19	48	6	0	8	11	34	7	12	4	282967	549227	0	0	0	0	0	0	75	42	10	11019	207	190	1345	2099	1191	0	3	3
38304	2671	4464	833180	1684039	1431361	485288	3487778	51018	32924	17123	12869	19233	91434	7278	70683	103956	115518	67322	44365	70842	12473	5324	6804	4400	424	469	3796	15	24006	15337	19297	15863	11484	453	1012	530	1129	352	400	59	274	14437	2349	598	10180	258	216	114	163	2320	972	16	19981	4248	1731	386	283	8	16	15	586	610	182	369423	6703	55446	1671	3318	1686	280	42	315
2041036	521	919	2845	2487	3290	2600	2808	508	11	11	3	40	9	13	5975	5238	10309	4523	3726	5792	1540	453	416	193	3	3	16	0	62	37	53	31	437	0	532	231	985	81	7	0	7	1991	18	27	230	0	0	0	10	283	0	19	2859	462	0	0	0	0	2	0	20	8	3	5493	84	152	313	910	534	0	0	3
1979527	546	743	2803	4401	4317	2155	8037	360	2791	3429	1150	1302	47688	563	1452	2128	2146	1254	899	1120	2230	1756	4860	3358	239	329	2689	9	34165	18075	21915	18987	5274	170	70	48	103	44	82	25	178	5143	1846	13	4744	38	72	62	148	1055	622	0	2526	2567	41	19	16	0	8	3	711	773	200	4917	74	542	151	358	170	43	6	74
161899	310	432	5390	4813	6438	2875	5333	486	29	8	10	12	72	7	1576	1615	2684	1270	780	954	1340	447	274	180	3	5	9	0	34	38	58	23	50	5	102	59	428	29	0	0	16	1829	34	10	31	0	5	3	5	257	9	0	1422	199	0	2	0	0	0	0	20	12	3	11500	264	209	492	895	450	2	3	9
38286	239	593	1961265	1303684	1756947	322443	1774115	42486	2678	815	1229	3799	1746	753	1678902	1864919	2735748	1672095	854133	1222256	738	214	272	122	62	37	263	0	100	84	98	56	384	19	351	200	209	88	0	0	10	3738	70	109	265	17	2	0	6	528	35	0	968	165	122	21	23	0	0	0	23	30	4	2703518	22556	24089	214	439	241	5	0	28
2026255	231	555	3113	2631	3168	1879	3066	443	57	14	10	42	5	18	7758	9007	13505	7026	5885	8056	977	292	260	146	4	7	7	0	49	31	60	27	256	0	262	99	636	32	0	0	11	1436	24	18	144	0	4	2	0	167	10	5	1810	295	2	0	0	0	0	0	12	13	0	5427	80	107	243	541	333	2	3	0
169292	99	181	7290	6873	8271	2560	6203	532	97	108	101	66	1347	79	4442	4927	7445	3872	2593	3319	540	156	155	107	4	2	14	0	180	100	115	92	526	13	386	241	170	56	0	0	11	751	93	12	413	6	0	9	8	131	58	0	659	134	2	0	0	0	0	2	16	6	4	21165	357	524	106	178	120	4	0	7
38301	90	138	28752	22822	54918	10486	21897	681	60	34	18	36	90	7	2856	3334	4410	2881	1312	1621	348	113	100	36	3	4	6	0	185	99	117	99	187	0	52	18	50	17	0	0	11	4832	34	8	127	3	0	0	9	729	13	0	396	45	0	0	0	0	0	0	19	9	3	22200	1500	541	56	124	68	0	0	0
39791	68	122	2659	2238	2131	658	1789	215	196	21	38	51	136	22	3354	2667	5936	2254	1449	1674	210	71	46	33	8	9	16	0	319	150	192	127	413	12	34	51	52	11	17	0	15	327	112	3	261	3	6	0	23	55	49	0	1640	114	0	0	0	0	0	0	43	26	7	6488	72	97	64	76	43	0	0	0
38284	75	118	5609	6979	5661	2014	7774	520	321	146	147	207	722	111	3594	5008	4855	3148	3794	5035	546	222	198	138	266	220	261	0	1471	1827	1125	882	268	479	511	266	269	181	189	6	228	1955	83	1080	231	320	159	37	217	401	53	9	272	126	11	0	0	0	16	0	99	59	12	15059	247	211	37	57	29	0	0	2
1232427	67	223	1031425	826831	955019	183303	1194849	20540	585	315	225	809	438	183	857873	958222	1407686	857389	426532	607993	208	70	92	48	10	4	32	0	26	22	13	12	68	0	48	38	44	26	0	0	3	756	16	13	49	3	0	0	0	85	18	0	273	54	16	2	6	0	2	0	6	0	0	2204218	18367	13590	70	145	73	6	0	5
3059080	4	12	2375	2044	2072	582	2035	180	46	15	22	48	35	10	1445	1589	2248	1385	562	809	3	13	17	11	0	0	4	0	15	12	76	20	24	9	11	4	5	2	2	0	11	656	29	38	16	0	0	0	0	94	4	0	10	18	6	0	0	0	0	0	18	12	3	7713	104	65	0	7	8	0	0	0
3017361	2	11	3455	3191	2807	1909	2494	336	8	14	7	14	24	3	904	972	1333	858	439	560	3	9	5	4	0	0	8	0	29	7	47	19	5	10	48	0	5	2	0	0	16	18	15	0	3	3	0	0	21	3	0	0	9	42	0	0	0	0	0	0	11	10	0	7855	122	72	0	2	2	0	0	10
156978	30	53	3949	3663	3564	1055	4380	232	59	14	34	57	55	28	5984	6369	9294	5719	2057	3092	57	22	73	32	0	0	0	0	22	14	33	13	11	4	508	346	262	108	0	0	3	180	11	0	11	7	0	0	0	20	3	0	144	54	4	0	0	0	0	0	20	4	0	8366	95	184	9	30	19	0	0	0
38288	26	34	4815	3421	4170	1279	3371	351	172	69	152	92	155	50	2917	4098	4933	3173	1769	2626	35	17	14	16	10	5	37	0	28	28	67	20	31	0	89	78	44	18	0	0	25	1128	39	0	24	5	2	0	13	185	2	0	28	14	5	0	0	0	0	0	29	9	2	7409	106	83	31	61	52	0	0	0
146827	23	38	6671	9780	6346	2305	14928	550	627	111	181	183	287	96	1596	2254	2558	1500	643	804	86	26	31	16	9	0	28	0	134	96	80	76	50	62	37	4	18	2	0	0	8	260	16	0	34	54	0	2	2	26	3	0	109	12	10	2	3	0	0	2	58	64	28	15208	233	161	15	19	9	123	43	393
1852390	20	45	51418	30973	45635	9709	42368	2168	520	148	258	614	354	115	47699	53640	75983	47636	22374	31628	70	22	34	21	9	2	43	0	33	30	15	6	75	3	75	36	51	13	0	0	0	818	14	11	49	0	0	0	0	114	9	0	126	14	15	4	3	0	0	0	73	71	19	84520	709	790	21	50	29	4	2	2
61592	20	109	1472	1482	1317	376	1075	122	35	16	13	6	33	8	175	220	335	152	130	159	27	29	26	2	8	2	8	24	64	49	131	50	7	13	132	90	45	20	61	4	25	23	30	23	17	7	41	0	7	4	10	0	66	20	0	0	2	0	0	0	42	25	9	4077	58	49	5	12	3	4	0	4
1414719	18	18	22793	17445	19470	4363	25080	886	260	48	119	368	194	54	27365	30978	43826	26723	11373	16064	38	26	28	24	6	9	19	0	26	18	34	25	41	16	19	8	21	10	10	0	5	359	210	11	15	7	3	0	0	45	125	0	74	29	8	4	4	0	0	0	25	30	12	29343	279	325	8	39	9	2	0	0
43770	18	63	8567	10039	8519	3028	11024	629	287	136	137	80	1148	65	2719	3584	4032	2642	1126	1592	185	60	68	48	6	10	33	0	198	112	217	143	66	21	41	38	40	3	5	0	14	240	43	7	64	4	2	5	22	36	13	0	182	37	10	3	4	0	0	0	52	29	11	25456	361	560	29	50	33	14	4	11
43768	15	70	2022	1972	1761	564	1280	147	30	11	0	0	18	26	183	153	179	112	109	139	94	34	96	12	0	6	6	70	29	13	56	23	16	6	408	252	139	163	15	2	19	203	81	13	16	10	9	0	10	64	8	0	75	36	0	0	0	0	0	0	25	14	12	4764	85	45	12	3	5	2	0	6
401472	15	46	30433	19486	24131	8747	26101	3538	571	153	313	481	373	162	22806	26198	37881	23377	12033	16931	45	15	16	4	21	6	55	0	31	151	133	87	46	6	64	47	64	18	0	0	0	352	5	26	12	0	2	0	0	48	4	3	52	25	13	4	2	0	0	0	2	0	0	44201	412	441	24	82	32	2	0	0
53374	15	38	20711	13707	17472	4003	15744	963	136	40	57	151	60	28	19062	21658	30478	19314	8014	11575	29	7	8	4	0	3	20	0	29	32	44	20	31	7	272	126	85	50	0	0	3	249	4	11	20	0	0	0	3	21	3	0	83	7	0	0	0	0	0	0	61	65	15	31430	353	279	0	10	11	0	0	3
38289	14	41	48832	45389	37305	12091	31781	4210	709	841	307	244	461	187	7615	8271	11159	6998	2617	3654	119	57	230	182	2	4	6	0	884	239	231	183	86	25	344	157	213	96	3	0	14	70	45	6	34	14	0	0	29	10	18	0	173	182	137	8	6	0	0	0	58	33	6	106453	2081	1236	38	102	35	0	0	0
