	mean_abundance
478	29.701004
480	7.304454
476	1.341048
386891	0.369214
29433	0.134498
34062	0.468865
2904119	0.114541
2904120	0.087991
2953752	0.087860
2904121	0.078122
2904122	0.126550
34061	0.079520
48296	0.095808
106654	0.007948
470	0.092795
28090	0.372576
2798861	0.011179
2708348	0.044716
108980	0.025022
40214	0.100044
108981	0.027817
756892	0.014847
465797	0.004192
1776741	0.000524
1028416	0.036376
2708350	0.020524
3043330	0.068253
861445	0.105459
729	0.230437
735	0.023712
727	4.525895
726	0.078559
712310	0.028210
2820817	0.005371
712150	0.004629
2866570	0.002751
732	0.011135
739	0.003362
85402	0.002096
85404	0.000786
750	0.005371
109472	0.000175
28901	0.191310
562	1.204367
1134687	0.008559
82995	0.012620
1922217	0.001790
287	0.038908
2871493	0.005328
2054919	0.000961
294	0.020873
2718	0.009956
2866573	0.002183
314281	0.000524
339617	0.001266
2950245	0.000218
357794	0.002969
2066133	0.001397
158327	0.000044
2303332	0.020349
40269	0.000044
487	0.068865
483	0.023799
28449	0.127642
2937985	0.009039
1871109	0.013668
2972775	0.017162
641148	0.021092
490	0.133799
495	0.032795
488	0.055153
496	0.074367
486	0.015459
485	0.012227
489	0.003668
484	0.010917
267212	0.001572
492	0.000437
1853278	0.001223
502	0.027380
505	0.010000
1056807	0.020611
539	0.007860
1196083	0.001004
72	0.007424
153493	0.004148
47671	0.193537
2081049	0.000131
576611	0.000306
87883	0.003624
311231	0.000044
80878	0.051266
1658672	0.002795
94132	0.003057
1795631	0.000830
85698	0.003581
457921	0.002358
28068	0.001834
1765049	0.001048
2991075	0.002882
2565555	0.006376
1523415	0.007511
3012344	0.002838
399176	0.006070
28214	0.008341
185951	0.008646
2681549	0.004192
1541170	0.002358
1045317	0.000961
1549858	0.016638
424800	0.012882
13689	0.020262
2872652	0.002969
2565556	0.000742
117207	0.000786
13690	0.015764
1267766	0.000306
2872646	0.000480
451876	0.008341
2735528	0.012009
2877941	0.002271
2984843	0.010655
1775910	0.002751
270351	0.025284
223967	0.006288
2736875	0.000393
2840469	0.001310
165694	0.000611
2018065	0.004323
1612173	0.002620
147645	0.045983
1063	0.001004
1679497	0.001004
88688	0.003624
78587	0.017860
779	0.000131
29394	12.820655
137732	0.100742
46124	0.051354
1911586	0.000262
28037	1.007817
1313	6.064105
1308	0.365153
1303	0.346332
712633	0.048734
2598453	0.095895
2759692	0.032795
2972784	0.027031
712623	0.029214
1759399	0.023799
2610896	0.035109
1902136	0.015502
3038077	0.012795
1316408	0.036812
2576376	0.013930
1839799	0.007555
712624	0.011616
1304	0.162183
1433513	0.075546
257758	0.192096
2819619	0.097205
1305	0.162576
113107	0.053231
1302	0.046594
45634	0.022052
1338	0.015066
1328	0.006769
76860	0.003886
1318	0.055895
68892	0.013450
1156431	0.013712
684066	0.014017
1307	0.009520
1343	0.006332
1311	0.012620
1309	0.003755
2382163	0.007336
1234680	0.007467
1501662	0.001397
1345	0.000437
33040	0.000699
1314	0.009214
1334	0.003144
29389	0.000699
82348	0.000742
1310	0.000262
400065	0.000786
1346	0.000873
1340	0.000262
1888195	0.000480
2021971	0.000568
1111760	0.000087
1359	0.049345
1358	0.091572
46125	0.063537
147802	0.078559
1587	0.006463
1584	0.017424
47715	0.003624
1245	0.001703
152331	0.000044
1379	0.145546
84135	0.017555
29391	0.011703
1282	0.188603
1290	0.085197
61015	0.003275
1280	0.724672
1292	0.012620
985762	0.000000
29388	0.018297
489910	0.002183
436516	0.000000
45668	0.000000
2748863	0.000044
423477	0.072402
29466	0.118603
2682455	0.042096
2682456	0.043930
39778	0.021616
39777	0.038384
1884263	0.001266
712528	0.000742
2754044	0.000873
1491	0.061441
1534	0.000087
3036945	0.000000
1490	0.000087
2490855	0.010087
617123	0.002969
418240	0.028166
1531	0.001004
46228	0.000742
853	0.020611
2108523	0.000218
1260	0.007074
37637	4.964323
43769	1.907642
43768	0.055459
61592	0.060961
36808	0.002140
38304	0.096943
38284	0.260437
1717	0.010175
43770	0.003886
1414719	0.001266
161879	0.006681
43771	0.004061
38290	0.039170
42817	0.001921
1789	0.028734
2875777	0.000000
1723645	0.000218
2755382	0.000175
712270	0.013144
639313	0.000044
43675	0.277555
172042	0.091048
2047	0.093712
37923	0.004891
2856555	0.029694
1179670	0.007642
1270	0.128515
72000	0.077074
3023076	0.000611
2600159	0.000218
1804990	0.000349
1572644	0.001354
2596916	0.000742
1690220	0.001965
443156	0.002489
1276	0.014367
1747	1.207293
33011	0.022227
1750	0.020393
1547448	0.006288
2592334	0.000786
1643322	0.002314
642780	0.002926
706438	0.040830
712116	0.019825
2755559	0.001354
712122	0.005153
2789424	0.000437
1655	0.074410
544580	0.092445
1659	0.007336
1656	0.011310
1852377	0.005895
52774	0.000480
1660	0.122926
42239	0.094454
1886	0.332445
710111	0.000218
1752064	0.000306
652716	0.024716
712471	0.012882
28132	0.119607
1177574	0.014279
28135	0.078777
28129	0.005502
470565	0.021747
28131	0.020742
28128	0.002052
28125	0.003668
76123	0.001703
28127	0.004498
454154	0.000306
2133944	0.000830
712435	0.034192
837	0.010699
28123	0.001572
393921	0.001223
28124	0.135677
712710	0.006638
28112	0.001179
28113	0.000655
329854	0.000524
376805	0.000218
626932	0.000262
1017	0.025066
1019	0.053450
2545799	0.009520
1316596	0.003974
327575	0.009825
2708117	0.007686
2779359	0.000437
101385	0.000000
2497989	0.004803
3042315	0.000830
2838877	0.022096
373672	0.008210
266749	0.000131
371142	0.001965
28454	0.004367
2482728	0.001135
2675878	0.003231
2932252	0.000000
1134405	0.000000
554406	0.005328
712357	0.010786
1785996	0.000437
157691	0.006070
109328	0.003319
157687	0.008079
157688	0.002489
40542	0.001834
76857	0.004585
2663009	0.015677
1583098	0.003144
851	0.013406
849	0.000131
856	0.000044
199	0.011092
497724	0.000044
217	0.000218
38322	0.000000
2899133	0.007860
2093824	0.002227
2572088	0.002140
158	0.005808
52	0.000175
2598579	0.000437
9606	7.763974
1789762	0.000000
3050295	0.013799
361101	0.000393
2940302	0.000000
1354	0.000786
45972	0.008297
3050112	0.000044
751585	0.000786
1852374	0.000568
1982626	0.000524
2054	0.007511
249058	0.007074
480035	0.000393
1653478	0.002009
1286180	0.001659
2963431	0.008777
262209	0.004716
1274	0.048952
216816	0.006245
138336	0.001354
249188	0.001354
715	0.001223
718	0.001834
762	0.002227
70346	0.018559
587	0.007904
2675054	0.001266
2051553	0.004716
2596913	0.007467
2782568	0.000175
2897332	0.001790
329	0.000830
821	0.021528
46503	0.001048
165179	0.023886
2562892	0.000000
2754694	0.015721
985	0.002271
239935	0.003188
1798806	0.000044
1701814	0.003537
2419619	0.000044
471	0.004323
2714110	0.007555
2908637	0.013668
40216	0.008515
2053287	0.010830
106649	0.007991
1789224	0.005590
256326	0.054672
45610	0.061965
714	0.002795
123824	0.002751
53412	0.000087
2653853	0.000699
2049589	0.000131
1028989	0.000306
47885	0.006114
303	0.033624
587753	0.007860
380021	0.001179
2995658	0.000175
316	0.013188
74829	0.000655
2547598	0.002009
158836	0.052795
133448	0.000262
83655	0.005852
516075	0.001092
29486	0.000175
9	0.005371
40324	0.054760
347	0.000218
56448	0.000742
2992573	0.000218
2884874	0.000218
3031330	0.000393
1481663	0.005153
875932	0.000044
74109	0.001441
314282	0.000262
2908650	0.001092
1816218	0.000087
91844	0.000044
420402	0.000044
914150	0.001485
1267021	0.001310
446	0.003144
2911520	0.000175
622488	0.000087
2699430	0.000044
326522	0.000611
153491	0.009738
1590041	0.001572
1858609	0.001834
758826	0.000917
553814	0.001747
34073	0.011878
80866	0.003013
2798804	0.004017
1842727	0.000873
2109915	0.001528
285	0.005197
2986281	0.000306
1678129	0.000262
2109913	0.000524
1844971	0.000349
1855617	0.000961
1855652	0.000087
2576926	0.000306
1855895	0.000087
1743168	0.000131
2920269	0.000349
82633	0.002751
96344	0.000611
2608999	0.000437
95486	0.002227
