	SRR28152864_bracken_species	SRR28152866_bracken_species	SRR28152867_bracken_species	SRR28152868_bracken_species	SRR28152869_bracken_species	SRR28152870_bracken_species	SRR28152871_bracken_species	SRR28152873_bracken_species	SRR28152874_bracken_species	SRR28152875_bracken_species	SRR28152876_bracken_species	SRR28152877_bracken_species	SRR28152878_bracken_species	SRR28152894_bracken_species	SRR28152905_bracken_species	SRR28152916_bracken_species	SRR28152927_bracken_species	SRR28152943_bracken_species	SRR28152954_bracken_species	SRR28152963_bracken_species	SRR28152964_bracken_species	SRR28152965_bracken_species	SRR28152966_bracken_species	SRR28152967_bracken_species	SRR28152968_bracken_species	SRR28152969_bracken_species	SRR28152971_bracken_species	SRR28152972_bracken_species	SRR28152973_bracken_species	SRR28152974_bracken_species	SRR28152975_bracken_species	SRR28152976_bracken_species	SRR28152977_bracken_species	SRR28152978_bracken_species	SRR28152979_bracken_species	SRR28152980_bracken_species	SRR28152981_bracken_species	SRR28152982_bracken_species	SRR28152984_bracken_species	SRR28152985_bracken_species	SRR28152986_bracken_species	SRR28152987_bracken_species	SRR28152988_bracken_species	SRR28152989_bracken_species	SRR28152990_bracken_species	SRR28152991_bracken_species	SRR28152992_bracken_species	SRR28152993_bracken_species	SRR28152994_bracken_species	SRR28152995_bracken_species	SRR28152996_bracken_species	SRR28152997_bracken_species	SRR28152998_bracken_species	SRR28152999_bracken_species	SRR28153000_bracken_species	SRR28153001_bracken_species	SRR28153002_bracken_species	SRR28153003_bracken_species	SRR28153004_bracken_species	SRR28153005_bracken_species	SRR28153006_bracken_species	SRR28153007_bracken_species	SRR28153008_bracken_species	SRR28153009_bracken_species	SRR28153011_bracken_species	SRR28153012_bracken_species	SRR28153013_bracken_species	SRR28153014_bracken_species	SRR28153015_bracken_species	SRR28153016_bracken_species	SRR28153017_bracken_species	SRR28153018_bracken_species	SRR28153022_bracken_species	SRR28153023_bracken_species	SRR28153033_bracken_species	SRR28153044_bracken_species	SRR28153048_bracken_species	SRR28153049_bracken_species	SRR28153060_bracken_species	SRR28153071_bracken_species	SRR28153074_bracken_species	SRR28153075_bracken_species	SRR28153076_bracken_species	SRR28153077_bracken_species	SRR28153078_bracken_species	SRR28153079_bracken_species	SRR28153080_bracken_species	SRR28153081_bracken_species	SRR28153082_bracken_species	SRR28153083_bracken_species	SRR28153084_bracken_species	SRR28153085_bracken_species	SRR28153086_bracken_species	SRR28153087_bracken_species	SRR28153088_bracken_species	SRR28153089_bracken_species	SRR28153090_bracken_species	SRR28153091_bracken_species	SRR28153092_bracken_species	SRR28153094_bracken_species	SRR28153095_bracken_species	SRR28153096_bracken_species	SRR28153097_bracken_species	SRR28153098_bracken_species	SRR28153099_bracken_species	SRR28153100_bracken_species	SRR28153101_bracken_species	SRR28153102_bracken_species	SRR28153103_bracken_species	SRR28153104_bracken_species	SRR28153105_bracken_species	SRR28153106_bracken_species	SRR28153107_bracken_species	SRR28153108_bracken_species	SRR28153109_bracken_species	SRR28153110_bracken_species	SRR28153111_bracken_species	SRR28153112_bracken_species	SRR28153113_bracken_species	SRR28153114_bracken_species	SRR28153115_bracken_species	SRR28153116_bracken_species	SRR28153117_bracken_species	SRR28153120_bracken_species	SRR28153121_bracken_species	SRR28153122_bracken_species	SRR28153123_bracken_species	SRR28153124_bracken_species	SRR28153125_bracken_species	SRR28153126_bracken_species	SRR28153127_bracken_species	SRR28153128_bracken_species	SRR28153129_bracken_species	SRR28153130_bracken_species	SRR28153131_bracken_species	SRR28153132_bracken_species	SRR28153133_bracken_species	SRR28153134_bracken_species	SRR28153135_bracken_species	SRR28153136_bracken_species	SRR28153137_bracken_species	SRR28153138_bracken_species	SRR28153139_bracken_species	SRR28153140_bracken_species	SRR28153141_bracken_species	SRR28153142_bracken_species	SRR28153143_bracken_species	SRR28153144_bracken_species	SRR28153145_bracken_species	SRR28153167_bracken_species	SRR28153178_bracken_species	SRR28153194_bracken_species	SRR28153205_bracken_species	SRR28153214_bracken_species	SRR28153215_bracken_species	SRR28153216_bracken_species	SRR28153217_bracken_species	SRR28153218_bracken_species	SRR28153219_bracken_species	SRR28153220_bracken_species	SRR28153221_bracken_species	SRR28153222_bracken_species	SRR28153223_bracken_species	SRR28153224_bracken_species	SRR28153225_bracken_species	SRR28153226_bracken_species	SRR28153227_bracken_species	SRR28153229_bracken_species	SRR28153230_bracken_species	SRR28153231_bracken_species	SRR28153232_bracken_species	SRR28153233_bracken_species	SRR28153234_bracken_species	SRR28153235_bracken_species	SRR28153236_bracken_species	SRR28153237_bracken_species	SRR28153238_bracken_species	SRR28153239_bracken_species	SRR28153240_bracken_species	SRR28153241_bracken_species	SRR28153245_bracken_species	SRR28153256_bracken_species	SRR28153267_bracken_species	SRR28153272_bracken_species	SRR28153282_bracken_species	SRR28153283_bracken_species	SRR28153284_bracken_species	SRR28153285_bracken_species	SRR28153286_bracken_species	SRR28153287_bracken_species	SRR28153288_bracken_species	SRR28153289_bracken_species	SRR28153290_bracken_species	SRR28153292_bracken_species	SRR28153293_bracken_species	SRR28153294_bracken_species	SRR28153295_bracken_species	SRR28153296_bracken_species	SRR28153297_bracken_species	SRR28153298_bracken_species	SRR28153299_bracken_species	SRR28153300_bracken_species	SRR28153301_bracken_species	SRR28153302_bracken_species	SRR28153303_bracken_species	SRR28153304_bracken_species	SRR28153305_bracken_species	SRR28153306_bracken_species	SRR28153307_bracken_species	SRR28153308_bracken_species	SRR28153310_bracken_species	SRR28153311_bracken_species	SRR28153312_bracken_species	SRR28153313_bracken_species	SRR28153314_bracken_species	SRR28153315_bracken_species	SRR28153316_bracken_species	SRR28153317_bracken_species	SRR28153318_bracken_species	SRR28153319_bracken_species	SRR28153320_bracken_species	SRR28153321_bracken_species	SRR28153322_bracken_species	SRR28153323_bracken_species	SRR28153324_bracken_species	SRR28153325_bracken_species	SRR28153326_bracken_species	SRR28153327_bracken_species	SRR28153328_bracken_species
478	157055	44	455	75876	113	44670	70142	7469	108698	39304	225539	503924	4481	36148	3363	306	220	440728	137198	75614	106	177035	9665	980	142	259	791484	5279	67558	466342	167	245228	106	225948	60	1031	3229	67	30650	5495	68	147524	399368	78963	79	80	125	231325	86021	115	6371	81953	37357	113	209882	107195	99498	109	8044	60550	5619	18094	160244	16996	1191	345389	108	3256	245	1131	7290	1224	472559	92733	527	27614	211003	29977	16483	435	46097	15773	138	30955	189	5157	4067	177543	50134	219414	45951	344597	17562	34573	1877	245003	2537	25735	8625	8903	9160	1205427	14716	13948	25462	43	3365	66	311690	50379	105841	50737	76370	4851	5111	120388	22960	1773	131978	5267	14082	24	176621	255379	23973	2874	68	117309	192722	24139	91735	75765	1155	113	51440	97862	105057	486	1141	81054	125767	601	129843	67	60107	21238	360	49924	86935	20183	115430	427	3374	644130	6838	282	75	22225	434	2193	106865	123343	52467	1748	91270	233	10073	223818	602	10465	3101	3896	217312	25758	18166	9622	115564	78474	518976	251	68989	250	5590	478	90221	5352	62529	71994	229	396	32618	304	339	3503860	1285	97554	45836	448017	141326	164	8271	98388	39969	170355	148	3119	76243	414586	926410	15368	324	4595	4416	2397	1324	163	355	21267	40672	172536	95344	60	937	122737	4576	292	34081	73946	225
480	7908	2419	8769	3818	30	2037	5189	7894	5954	2093	12308	18749	1096	2474	3911	339	58	21311	6600	4290	8	9479	8630	1006	5	124	35604	5706	2739	22160	12	16882	21	120254	15	1059	4296	6	11306	890	9	7273	22016	4149	133	4	32	12588	4600	851	7082	3788	1963	9	9697	5381	5094	9	1004	3271	6174	16556	8812	42686	1142	17118	5	3193	43	187	379	1389	22959	18547	97	8172	16029	1436	965	86	2140	1253	44	2901	77	1481	3100	13962	2381	11736	3968	18153	1581	2015	68860	12692	596	1345	1862	25075	10178	54498	675	686	2360	20	12516	19	15533	2253	5780	12528	2467	5252	1081	5377	13711	336	259725	1809	2623	7	8900	14570	1155	2885	18	6383	9112	27341	4281	3994	1063	14	28688	4427	40127	104190	132	5930	10791	9281	7190	14	2938	2515	86108	194222	4464	1256	6142	510	242	34622	689	185	27	1380	428	172	5520	40942	14775	5788	206168	7854	26115	26796	515	651	181	208	12835	52390	313192	615	6329	13894	25921	86	4595	23932	6690	11225	186549	370	6933	3506	31	36306	2736	5272	31	201985	49543	17046	10271	47893	7864	40	25085	24107	8043	7807	41	44727	14234	18117	42812	1242	130	2561	5045	295	14494	242	22	1133	2166	14603	3929	56	9119	47121	8368	97	2034	5213	115
476	5501	4	12	2849	5	1469	1592	954	3647	1312	10066	8605	110	1319	431	7	20	11034	3086	3049	6	5076	1048	129	2	42	15070	836	1764	9806	12	11740	3	8781	5	151	414	3	1155	261	5	3936	13976	2008	3	4	3	7979	2416	6	850	2004	783	6	7871	5543	2898	20	27879	2669	751	719	3732	1154	169	9284	5	413	40	39	250	164	10162	3008	18	1168	7275	503	523	15	1111	489	20	1098	3	199	427	3937	1069	7870	1563	14371	665	1631	1023	9251	200	1005	325	3448	1143	31389	404	494	948	0	492	0	8879	1544	3938	2050	1803	632	385	3593	544	109	4062	337	665	0	6305	11331	1143	272	0	4033	5011	3189	3509	2468	108	9	2934	2240	4262	14	38	2850	2083	17	3742	5	1599	1074	22	1587	2492	563	3078	34	151	21218	188	27	2	760	76	60	5272	7322	2109	119	2256	17	570	9760	255	574	120	123	12199	831	1173	407	5582	3694	19111	24	1832	8	701	48	5024	135	1820	1011	23	16	1967	12	11	139124	99	2972	1348	23568	6215	4	398	3196	3806	5852	9	377	5670	15181	42691	875	17	313	697	102	202	9	19	1012	1094	8504	2999	0	81	5472	353	15	1017	2665	11
386891	1648	2	71	656	0	449	547	590	1268	421	3022	1061	34	388	348	0	6	3810	1163	170	7	1678	604	69	0	10	5703	550	669	3471	2	2194	0	1549	0	93	120	0	495	36	0	1583	4731	751	0	0	0	2471	525	0	534	678	210	0	496	608	569	9	2640	924	474	236	1675	651	118	2129	0	242	10	6	78	126	3772	452	6	645	1410	182	227	8	378	138	3	252	4	46	273	1051	413	2898	448	3750	126	476	194	2048	38	272	103	766	759	10719	119	97	186	2	301	2	3205	330	904	438	218	387	91	836	159	36	1438	146	272	0	1197	2822	244	182	7	1068	1702	2386	1122	851	102	0	728	704	1215	13	12	545	977	31	1718	0	443	261	26	468	825	173	1196	13	36	8500	157	12	0	237	36	29	1411	2812	510	30	587	4	479	702	31	107	17	26	3434	298	1107	65	1350	1246	3264	6	670	0	627	16	1121	30	734	282	11	17	639	0	0	30745	60	1450	319	5611	1581	4	95	1233	889	1581	3	207	926	3970	11529	127	10	155	463	37	110	3	7	269	357	2364	768	0	61	1830	105	0	481	1006	0
29433	415	2	5	216	2	126	232	332	403	298	282	446	20	40	151	0	0	2183	437	71	0	731	371	30	0	0	2850	237	107	1655	0	906	0	826	0	24	45	0	240	6	0	532	1561	279	0	0	0	967	310	0	235	367	28	0	200	184	404	0	904	86	270	95	455	202	46	1285	0	92	9	3	21	60	1702	123	2	283	674	83	13	0	154	19	0	139	2	17	125	148	165	195	248	2183	41	29	63	922	31	27	30	255	394	4842	51	61	116	0	116	0	215	213	376	234	86	192	43	592	83	17	728	99	83	0	589	1079	124	68	0	445	997	1155	127	398	40	0	456	346	118	2	0	241	548	19	118	0	195	106	5	360	320	52	514	0	18	753	21	7	0	46	13	0	164	747	244	19	77	0	105	210	14	37	13	19	401	97	409	32	507	645	1874	6	318	5	230	12	795	17	292	100	6	15	146	5	0	9603	30	118	187	2001	511	0	27	391	442	683	0	65	391	371	1454	57	0	52	173	13	28	4	4	83	136	291	473	0	13	690	19	0	34	639	0
34062	241	0	18	331	25	36	608	2455	715	20	124	389	27	68	1046	651	32931	545	288	62	81	264	2496	300	21	35	1276	1826	138	709	392	5300	95	140	104	353	225	16	795	26	16	507	584	240	24	96	207	81	14	889	2113	166	54	111	148	39	35	357	246	33	1944	370	223	484	385	225	89	981	328	15	280	403	948	976	42	1180	1823	16	1278	101	110	1822	48	5168	2486	20	844	293	75	372	10	170	6	14	22	59	144	7	65	2524	3831	2010	43	12	74	140	1133	166	413	13	112	67	50	1460	264	110	13	72	263	462	447	0	223	78	66	1209	3238	398	512	8718	165	192	360	24	18	176	65	2	4	467	47	82	67	121	189	275	40	47	188	50	193	209	464	486	54	34	211	179	187	6	122	3983	318	87	345	5	501	274	131	4	14	26	208	52	1724	15	192	2306	591	545	443	2	1915	86	482	385	915	159	109	51	2103	48	12	1127	271	71	16	6994	932	4	3	167	1748	57	135	308	2763	541	184	49	17	1551	1339	57	407	56	49	37	162	43	141	22	461	2745	224	28	32	14	67
2904119	113	0	4	69	0	23	173	637	93	29	976	89	3	49	274	6	0	170	95	14	0	143	624	81	0	5	167	468	43	95	0	247	0	239	4	100	114	0	247	9	0	148	313	26	0	4	2	213	49	0	550	24	18	0	25	64	68	4	190	242	522	116	123	179	97	238	0	255	23	0	7	120	201	134	0	394	397	21	83	0	7	71	4	130	0	6	253	92	9	721	59	318	19	125	27	355	33	90	19	726	785	528	2	11	39	0	344	7	863	34	110	12	18	408	81	79	14	28	73	139	134	0	136	226	15	204	0	119	40	2579	199	64	78	0	62	14	352	0	0	151	39	9	445	3	15	104	22	66	39	19	114	14	4	2115	15	10	0	68	28	11	340	1493	119	40	95	0	167	46	36	11	0	3	514	16	721	7	140	811	478	3	126	2	480	24	181	2	335	56	8	0	115	0	2	4614	70	363	34	2077	139	3	0	90	574	71	0	103	754	955	2559	15	4	127	354	17	145	2	2	24	9	569	20	0	66	875	67	8	133	127	4
2904120	43	0	3	70	0	25	162	536	78	14	124	103	6	37	217	0	0	127	98	25	0	86	617	64	0	5	453	379	52	248	0	191	0	92	0	84	50	0	234	7	0	80	168	42	0	0	0	117	56	0	513	27	7	0	83	31	51	13	569	40	440	115	112	147	91	143	0	233	21	3	4	97	259	136	3	320	534	12	16	0	22	13	4	91	0	4	206	62	26	120	24	231	10	10	38	95	40	9	20	607	717	246	7	6	31	0	250	2	148	30	70	14	17	371	56	72	8	8	123	98	117	0	111	157	8	124	2	55	53	1964	77	20	78	0	32	61	64	10	0	158	20	10	79	0	42	77	0	31	28	20	65	16	2	461	18	8	0	64	37	4	89	1115	109	23	94	0	171	96	26	4	2	0	155	28	544	0	89	617	447	3	134	7	351	16	171	2	264	45	13	10	85	0	0	868	84	68	21	1885	67	0	37	85	441	38	0	54	759	285	780	14	12	115	296	13	103	0	0	11	21	104	14	0	46	693	55	9	17	38	0
2953752	37	0	9	51	0	129	152	471	37	10	75	78	0	20	251	0	0	100	80	40	5	59	623	83	0	14	296	374	343	148	0	131	0	96	0	97	54	0	221	12	0	72	115	30	0	0	0	65	31	0	437	24	19	0	103	13	35	0	163	37	435	132	105	169	92	115	0	247	0	0	0	120	192	488	2	333	389	0	15	0	21	7	0	112	0	0	194	77	13	86	14	252	5	22	50	103	28	27	19	576	744	605	6	0	32	0	282	2	162	23	41	12	0	353	68	80	29	16	289	119	125	0	102	75	15	145	0	81	40	2126	60	26	61	0	20	39	86	0	0	118	37	21	49	0	23	60	0	184	24	0	75	29	3	375	0	15	0	128	28	3	130	1170	89	33	45	5	159	118	40	3	4	0	100	21	868	4	72	616	465	9	145	18	434	21	398	3	262	58	14	23	68	0	0	519	76	45	5	1793	55	0	0	43	433	66	0	176	708	297	1132	3	11	103	320	7	67	0	0	7	26	118	57	0	69	697	76	0	17	24	0
2904121	87	0	4	50	0	9	173	571	83	11	85	124	0	33	228	0	0	250	95	13	0	74	551	57	0	4	337	354	11	175	0	167	0	64	0	80	63	0	238	16	0	83	257	49	0	0	0	76	20	0	486	29	17	0	40	34	32	8	177	19	413	117	103	162	75	116	0	213	16	3	4	93	209	86	0	312	407	6	10	0	26	4	3	104	0	0	206	106	19	88	28	181	9	7	18	129	33	12	17	552	681	601	5	8	16	0	247	0	108	16	64	21	26	280	63	52	10	14	65	119	125	0	106	117	13	123	0	54	133	1806	62	48	71	0	30	42	39	0	0	170	42	2	55	0	34	79	0	29	43	16	53	3	0	276	2	10	0	41	33	5	56	1137	81	19	61	0	140	79	26	4	2	3	134	19	561	10	92	560	296	5	134	2	406	21	175	2	227	58	5	0	90	0	2	1618	71	31	13	1759	103	2	2	56	427	80	0	66	634	182	544	10	9	104	269	6	68	0	0	12	14	74	44	0	55	720	52	3	10	21	0
