	ERR4701919_bracken_species	ERR4701950_bracken_species	ERR4701953_bracken_species	ERR4701956_bracken_species	ERR4701959_bracken_species	ERR4701962_bracken_species	ERR4701965_bracken_species	ERR4701968_bracken_species	ERR4701971_bracken_species	ERR4701974_bracken_species	ERR4701976_bracken_species	ERR4701978_bracken_species	ERR4701982_bracken_species	ERR4701984_bracken_species	ERR4701988_bracken_species	ERR4701990_bracken_species	ERR4701994_bracken_species	ERR4701996_bracken_species	ERR4701998_bracken_species	ERR4702000_bracken_species	ERR4702004_bracken_species	ERR4702007_bracken_species	ERR4702012_bracken_species	ERR4702014_bracken_species	ERR4702016_bracken_species	ERR4702019_bracken_species	ERR4702024_bracken_species	ERR8529715_bracken_species	ERR8529719_bracken_species	ERR8529723_bracken_species	ERR8529727_bracken_species	ERR8529731_bracken_species	ERR8529735_bracken_species	ERR8529739_bracken_species	ERR8529743_bracken_species	ERR8529747_bracken_species	ERR8529751_bracken_species	ERR8529755_bracken_species	ERR8529759_bracken_species	ERR8529763_bracken_species	ERR8529767_bracken_species	ERR8529771_bracken_species	ERR8529775_bracken_species	ERR8529779_bracken_species	ERR8529783_bracken_species
1747	1306	262	66	126	496	624	693	571	656	1450	38040	125041	34040	322899	90413	334949	13294	9029	4613	8064	30921	144373	1139	6501	31371	47350	167343	274	155	41	243	436	309	5071	3657	7230	31	9	184	513	2657	4258	242	605	390
33011	40	6	2	4	3	4	3	8	12	89	298	502	107	899	1232	4339	230	15	26	30	99	140	25	37	130	55	1407	0	0	0	0	2	0	2650	1452	16233	2	0	4	28	159	239	7	22	9
2559073	3	0	0	3	12	5	4	297	400	178	22	39	60	648	56	272	16	6	31	29	176	16	2	17	239	10	57	0	0	0	0	0	3	3	0	5	2	0	0	0	5	5	0	0	0
161879	240	123	44	61	0	5	0	8	11	22	5414	9270	0	0	9	25	2	0	15	19	0	3	0	0	0	0	17819	0	0	0	0	0	0	7	0	11	11	2	58	18	118	168	0	0	0
38304	139	38845	30576	9966	571	214	751	2666	2314	4298	633	576	33	79	609	1300	312	38	93	98	35	48	27	57	44	32	1989	872	285	9	0	0	2	27	46	23	774	204	1424	17	108	142	72	179	158
2041036	22	91	43	46	0	0	2	162	207	302	54	63	0	3	0	8	13	0	50	33	0	0	0	0	3	0	329	0	0	0	0	0	0	0	0	0	16	0	24	4	21	18	0	0	0
38286	18	14439	11294	2664	16	6	104	53220	46245	92849	35	32	0	2	4	8	13	5	21	29	0	0	0	0	0	2	102	4	2	0	0	0	0	3	0	0	2410	129	3728	9	8	11	2	0	4
161899	12	98	54	49	0	0	3	56	44	94	69	74	0	0	3	4	0	0	16	15	0	0	0	0	0	6	184	0	0	0	0	0	0	0	0	0	17	0	50	5	37	33	0	3	0
1232427	14	8116	5686	1339	5	0	47	27350	23572	46382	7	11	0	2	0	0	2	0	0	0	0	0	0	0	0	0	25	0	0	0	0	3	0	0	0	0	1567	79	2815	3	2	9	0	0	0
38284	12	126	97	55	5	0	0	125	124	392	31	11	10	56	38	78	14	26	20	18	17	31	0	40	26	33	59	2	0	0	0	0	0	0	0	3	21	0	41	0	0	3	0	0	0
2026255	11	66	20	10	0	0	6	319	218	490	43	58	0	2	0	5	6	0	11	20	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	11	0	25	0	13	18	0	0	0
169292	8	140	108	61	2	0	0	178	143	266	40	18	0	0	5	21	18	3	6	13	0	0	2	7	0	2	76	2	0	0	0	0	0	0	0	0	27	2	96	0	8	9	0	4	0
1979527	13	355	206	87	49	50	45	51	67	104	67	127	6	65	961	1442	62	11	0	0	30	35	0	7	27	5	179	3	12	0	0	0	0	29	27	64	9	0	27	0	9	8	6	18	22
71254	2	333	330	73	0	0	0	55	41	91	0	4	0	0	2	12	2	0	0	3	2	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	43	3	92	0	0	2	0	0	0
38301	2	344	107	57	0	0	0	83	128	145	20	2	0	0	0	6	8	0	2	3	0	0	0	0	0	0	39	4	0	0	0	0	0	0	0	4	28	2	342	0	4	5	0	0	0
53374	2	228	156	59	0	0	0	669	571	846	0	0	0	3	0	2	0	0	9	14	0	0	0	0	2	0	8	0	0	0	0	0	0	0	2	8	34	3	70	0	2	2	0	0	0
1528099	5	43	18	7	0	0	0	114	74	168	68	99	17	97	252	384	13	56	105	140	99	124	3	49	96	65	71	2	0	0	0	0	0	160	88	276	0	0	8	0	7	7	0	3	0
43675	10	10	9	5	51	16	38	20	17	33	15	53	12	12	4	30	13	21	19	26	15	3	11	5	2	5	32	6	0	0	0	0	0	5	3	0	7	0	5	0	9	10	3	17	6
2047	3	0	4	0	2	0	3	15	7	14	10	16	0	0	3	11	0	0	34	40	14	6	0	0	141	0	33	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	3
1273	5	7014	2330	2035	15	5	7	54	78	449	6	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	612	39	409	0	0	12	0	2	0
544580	8	10	4	5	0	6	0	12	18	22	32	32	0	0	6	13	2	3	135	167	26	3	2	5	1413	0	71	3	2	6	0	0	0	2	6	8	2	2	3	0	3	3	6	16	3
1659	2	0	0	0	6	0	8	6	3	17	21	24	0	0	2	0	0	0	10	24	13	0	0	0	58	0	20	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	3
1660	7	4	0	10	2	2	7	7	0	79	18	55	0	7	4	4	5	8	224	207	2	0	9	5	20	0	54	0	0	0	0	0	0	0	0	0	3	0	8	0	5	10	4	3	2
74426	17	2	0	0	0	0	7	8	0	28	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	8	4	4	6	14	0	2	4	2	4	3	9
28037	19	20	14	10	0	4	5	83	52	79	74	103	0	0	11	27	9	3	61	92	11	6	0	7	14	0	107	2	0	0	0	0	0	8	10	5	2	0	24	3	37	21	3	8	2
1303	6	0	0	0	0	2	2	34	24	96	31	36	0	0	0	7	4	3	173	139	25	0	3	10	142	0	55	0	2	0	0	0	0	3	8	8	0	0	6	0	11	5	4	16	8
712633	4	0	0	0	3	0	0	11	0	15	0	6	3	0	4	9	0	3	24	18	0	0	0	4	0	0	15	0	0	0	0	0	0	2	0	0	0	0	3	0	3	4	0	0	0
1313	4	4	0	3	0	0	0	46	8	52	18	31	0	0	8	9	0	7	18	20	0	0	0	5	5	0	50	0	0	0	0	0	0	4	0	25	0	0	4	0	12	4	0	0	0
1304	4	0	0	4	0	0	0	4	9	32	7	10	0	3	0	6	6	2	14	17	0	0	0	2	4	0	9	0	2	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0
1308	2	3	0	2	7	0	0	91	100	105	4	12	2	0	96	84	9	0	5	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	2	3	0	0	0	2	0	6	21	12
47770	13	31	4	2	2	0	0	2	2	14	12	10	2	0	8	39	0	0	32	20	33	0	0	19	113	0	71	0	0	0	0	0	0	0	0	2	2	0	10	8	38	43	0	0	0
147802	4	3	0	0	16	10	17	6	6	12	12	3	0	0	12	39	0	0	2	24	0	0	0	0	6	0	14	2	0	3	0	0	0	0	4	3	0	0	5	10	28	24	0	4	0
1282	46	184629	93516	77959	24367	21558	24527	4043	3817	11611	119	146	53	360	84	660	436	44	77	65	86	76	40	73	88	55	182	3362	3389	55	2	0	2	1885	1246	5455	1193	268	2367	1032	6198	7830	109	133	515
1290	5	214490	121072	108689	4385	1599	6341	65073	63375	80592	12	11	10	32	8	5	0	6	10	9	0	0	0	13	2	0	55	259	440	22	0	0	0	6	2	0	28781	6204	32497	131	114	123	14	64	39
29388	3	2159	1047	958	10072	11653	7035	356	398	379	42	38	52	178	363	2359	38	114	23	29	106	0	10	181	137	2	88	986	428	216	0	0	0	10	10	18	126	66	257	0	2	7	10	31	21
170573	2	16890	29754	6655	24	33	23	262	266	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	26	16	75	0	0	0	0	3	3
1379	2	6	0	3	0	0	0	14	12	41	7	22	0	0	2	8	0	0	12	13	2	0	0	0	7	0	35	0	0	0	0	0	0	3	0	5	0	0	8	0	13	8	2	4	2
418240	5	0	0	6	0	0	4	0	2	17	0	0	0	2	0	0	7	0	0	9	0	0	0	0	0	0	0	8	0	0	0	0	6	10	7	8	11	10	2	2	0	5	11	26	23
40520	5	0	0	0	0	0	0	9	3	22	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	5	3	0	0	9	3	4	4	2	13	5	13	28
1491	2	12	9	4	11	0	0	21	15	46	0	3	0	0	3	4	0	5	0	5	0	2	0	0	0	12	0	0	0	0	0	0	0	0	0	21	0	0	2	0	0	0	4	20	8
1260	11	18	7	11	6	12	18	191	164	192	22	38	0	0	277	245	86	0	22	178	0	3	4	2	4	4	112	0	0	0	0	0	0	11	5	166	4	0	7	4	3	14	2	8	5
3036300	10	39	54	9	5	0	15	12	27	26	30	18	0	0	3	11	3	0	0	11	0	0	0	0	2	0	69	0	0	0	0	0	0	32	13	162	0	0	3	0	2	4	0	0	0
2948573	5	0	3	0	0	2	0	26	26	23	0	14	0	0	21	26	6	0	33	389	0	0	0	0	0	0	37	0	0	0	0	0	0	32	17	189	0	0	0	0	3	6	2	2	0
54005	4	6	0	0	0	0	15	19	37	90	14	13	0	0	8	16	4	0	0	39	0	0	0	0	0	0	34	0	0	0	0	0	0	34	9	258	2	0	0	0	0	0	0	0	0
82633	829	2583	1939	2338	1803	1369	1842	2342	2271	2424	1506	1319	742	1583	949	1186	503	1461	1060	2187	1899	1519	118	1030	1840	1617	1745	333	190	122	242	251	244	516	318	865	624	104	511	160	233	270	192	614	559
2839983	8	10	12	2	0	15	15	16	14	11	3	8	0	6	0	9	2	16	16	11	0	16	0	3	2	4	6	5	0	0	0	2	0	6	3	2	2	0	5	0	0	0	0	4	6
2920269	7	23	10	32	9	0	0	14	21	35	12	8	5	38	0	19	0	13	0	5	12	6	0	0	0	31	24	10	0	0	0	7	0	0	0	8	0	0	6	0	0	0	0	0	0
119219	14	75	47	50	43	19	43	46	66	30	45	24	9	40	13	22	3	29	17	36	44	30	3	19	50	35	31	11	8	3	8	7	6	9	2	23	12	0	10	2	5	8	2	14	9
2714952	11	37	31	51	29	27	14	54	69	48	44	24	21	38	5	17	4	34	8	40	16	13	4	13	15	13	21	9	2	4	5	4	9	10	3	15	9	0	5	0	0	3	7	9	16
94132	2	7	11	10	6	3	4	15	24	76	4	4	0	2	5	4	4	3	2	12	2	6	0	4	12	10	6	0	0	0	0	3	0	0	2	0	2	0	3	0	0	0	2	0	4
28068	8	9	9	5	4	3	6	15	29	18	0	3	0	3	2	3	3	3	3	4	3	7	2	0	0	8	3	0	2	0	2	6	0	2	3	4	7	0	5	0	2	3	0	4	4
2995138	4	13	4	8	5	11	8	0	12	0	6	4	0	2	0	10	0	10	6	4	5	2	0	2	0	2	4	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	5	0
2978473	2	16	5	5	3	11	4	7	20	21	9	0	2	4	2	2	0	0	0	7	8	14	0	3	7	8	9	6	0	0	0	0	2	4	0	0	3	0	9	0	0	0	0	2	3
105560	4	6	0	6	2	0	10	14	4	9	0	0	0	2	2	0	0	0	4	2	5	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
391953	4	6	13	7	17	12	9	10	12	72	3	0	6	14	4	9	2	19	4	16	0	8	0	4	14	4	5	4	0	0	0	0	0	3	0	3	5	0	0	0	0	0	0	3	9
36863	2	4	2	3	19	7	0	12	6	15	7	2	0	8	0	3	5	7	2	2	6	9	0	4	6	8	4	0	0	0	0	0	0	5	3	3	0	0	2	0	0	0	2	11	0
2070761	9	13	18	20	8	6	26	23	30	28	4	3	6	15	11	11	2	6	0	11	5	3	0	2	14	4	6	5	0	2	3	5	0	6	0	2	7	0	3	0	5	0	3	6	6
3019553	6	46	33	40	21	15	26	23	50	35	13	19	2	6	12	8	6	14	9	27	23	8	0	14	16	13	16	2	4	3	4	7	0	7	3	14	15	0	8	0	8	3	2	10	14
1296669	3	0	4	8	0	0	2	2	14	3	0	0	0	2	0	3	2	4	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2
1597781	3	8	5	5	3	7	7	5	4	7	5	10	0	0	0	0	0	0	0	5	0	0	0	2	2	0	0	0	2	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0
2753607	2	0	7	4	3	0	5	7	15	12	5	11	0	6	0	2	0	5	9	9	0	5	0	4	2	0	4	0	0	0	0	2	3	0	2	5	6	0	0	0	0	0	0	0	3
88688	35	205	132	175	80	108	147	194	180	178	39	70	31	88	31	45	18	54	28	94	69	29	6	38	54	50	66	34	23	15	22	29	18	37	21	74	56	5	36	17	20	31	26	70	96
1679497	7	6	19	7	5	10	6	12	20	23	2	2	0	0	0	0	0	0	0	4	6	4	0	0	0	0	4	3	4	0	0	0	4	2	0	7	0	0	3	0	0	0	0	5	7
2708539	6	25	2	4	6	4	11	19	16	17	0	3	0	4	0	0	0	4	2	6	5	2	0	0	0	4	2	5	5	3	2	3	0	0	0	3	2	0	0	0	0	2	2	5	7
155892	6	57	34	54	16	34	43	63	60	75	16	26	9	19	13	4	7	16	8	28	38	26	0	14	6	31	18	11	8	6	4	9	7	6	11	22	4	2	15	3	6	10	7	12	21
69665	4	27	20	35	11	17	10	34	33	42	18	0	0	3	11	2	0	0	7	7	7	12	0	4	6	14	2	7	2	0	3	0	0	6	3	9	5	0	0	0	0	4	2	12	4
288000	16	7	2	26	23	9	10	15	30	43	25	5	7	12	3	6	9	15	5	13	8	12	2	0	10	17	13	5	0	3	3	3	0	5	7	12	11	0	2	4	4	0	2	5	5
2057741	15	13	16	9	50	22	18	11	34	13	2	11	14	38	2	13	22	9	11	26	26	6	0	22	14	13	29	5	0	2	2	2	4	0	0	4	13	0	14	0	3	3	0	3	6
1325120	2	14	7	11	23	30	18	30	28	17	3	0	8	4	5	15	4	0	10	23	12	3	0	0	7	19	6	2	0	0	0	0	0	0	0	17	3	0	0	3	0	0	0	3	7
1404443	2	0	0	5	3	14	17	32	23	15	0	0	4	12	0	8	0	2	0	0	13	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	0
2877941	3	17	3	12	10	4	4	2	16	26	2	10	0	8	3	3	0	3	9	8	15	3	0	5	0	4	6	2	0	0	0	0	0	3	2	6	2	0	3	0	0	3	0	2	3
729	16	0	0	2	5	5	0	0	8	61	17	27	3	0	8	10	21	13	37	22	19	2	6	8	31	0	53	0	0	0	0	0	0	0	0	2	0	0	5	0	2	10	0	0	0
294	3	9	0	0	0	4	9	11	18	28	0	0	0	0	0	2	14	0	7	4	0	0	2	0	0	0	4	0	217	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0
165179	48	0	0	0	0	0	0	19	20	76	3	23	27	113	2	0	20	0	33	8	0	4	4	0	4	0	0	0	0	0	0	0	6	2	3	0	2	0	0	0	0	2	0	0	2
28132	9	5	2	3	5	0	5	3	0	108	19	27	0	0	2	2	9	16	52	93	9	7	14	22	365	16	30	2	0	0	0	0	0	2	0	0	0	0	0	0	4	10	0	0	4
28127	5	8	0	0	0	0	7	14	4	6	18	18	0	0	0	7	5	0	42	401	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	3	0	2	4	0	0	2
821	15	0	0	0	0	0	0	0	5	11	0	0	2	13	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	9	19	53	13	0	0	5	3	0	3	9	25	17	5	7	11
1283	0	6048	3019	2955	296	240	338	7483	7318	8455	0	0	0	3	0	0	4	0	0	0	0	4	0	9	0	2	5	52	30	3	0	0	0	0	0	5	853	115	830	0	6	10	0	2	4
1280	0	10585	6758	4434	1634	1704	1251	3814	3923	5403	0	0	34	60	12	56	16	0	5	31	0	0	0	16	0	5	9	157	95	37	16	0	10	25	19	92	526	351	658	7	103	109	7	0	26
29382	0	1410	609	608	207	114	235	86518	75558	100683	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	5	5	2	0	0	0	0	0	0	2	570	74	638	7	4	6	0	0	4
1292	0	927	587	433	4047	3460	2749	952	855	816	11	8	0	4	0	0	2	0	0	2	3	0	0	4	0	0	10	455	257	134	0	0	0	0	0	5	84	8	66	0	0	0	4	9	0
29380	0	732	483	364	158	72	150	349	317	302	0	0	2	0	0	0	2	0	0	0	0	0	2	0	3	0	0	10	6	0	0	0	0	0	0	0	67	18	58	0	0	2	6	29	460
