group	taxid
MI_permissive	2202828
MI_permissive	426117
MI_permissive	2603276
MI_permissive	2202825
MI_permissive	269660
MI_permissive	39956
MI_permissive	2202827
MI_permissive	270351
MI_permissive	223967
MI_permissive	408
MI_permissive	1842539
MI_permissive	1867715
MI_permissive	1792307
MI_permissive	2020412
MI_permissive	2599640
MI_permissive	1526658
MI_permissive	456327
MI_permissive	339
MI_permissive	630
MI_permissive	562
MI_permissive	29442
MI_permissive	91844
MI_permissive	29388
MI_permissive	1280
MI_permissive	1747
MI_permissive	573
MI_permissive	747
MI_permissive	651
MI_permissive	1916
MI_permissive	1968775
MI_permissive	96344
MI_strict	2202828
MI_strict	2202825
MI_strict	223967
MI_strict	1842539
MI_strict	456327
MI_strict	630
MI_strict	29388
MI_strict	1280
MI_strict	1747
MI_strict	29442
MI_strict	573
MI_strict	747
MI_strict	91844
MI_strict	1916
MI_strict	96344
nasal	374432
nasal	2894310
nasal	3038924
nasal	334852
nasal	31998
nasal	408
nasal	2219696
nasal	3018036
nasal	1961362
nasal	1390395
nasal	1523415
nasal	28214
nasal	2596913
nasal	2653203
nasal	1549858
nasal	424800
nasal	13689
nasal	152682
nasal	563996
nasal	1813468
nasal	2899123
nasal	1560345
nasal	93064
nasal	13690
nasal	28090
nasal	562
nasal	1886
nasal	42239
nasal	1747
Skin_microbiome	1747
Skin_microbiome	190721
Skin_microbiome	329
Skin_microbiome	105219
Skin_microbiome	134537
Skin_microbiome	420952
Skin_microbiome	2057741
skin_standard	82633
skin_standard	119219
skin_standard	1658665
skin_standard	3019553
skin_standard	88688
skin_standard	155892
skin_standard	2839983
skin_standard	2714952
skin_standard	34073
skin_standard	94132
skin_standard	2978473
skin_standard	76731
skin_standard	391953
skin_standard	28068
skin_standard	2070761
skin_standard	69665
skin_standard	1679497
skin_standard	2708539
skin_standard	2057741
skin_standard	288000
skin_standard	1325120
skin_standard	2877941
skin_standard	1747
simulation	80866
simulation	2728021
simulation	2041385
simulation	2756
simulation	29581
simulation	46125
simulation	54914
simulation	1451
simulation	2036
simulation	367825
simulation	119981
simulation	290
simulation	1777867
simulation	37448
simulation	684066
simulation	328692
simulation	1325095
simulation	2910158
simulation	151416
simulation	83617
simulation	1742359
simulation	3003260
simulation	76731
simulation	80842
simulation	215580
simulation	945844
simulation	45610
simulation	1296669
simulation	135719
simulation	465797
oral	28090
oral	48296
oral	562
oral	287
oral	40324
oral	2219696
oral	3018036
oral	1961362
oral	152682
oral	13690
oral	1886
oral	42239
oral	1747
oral	1313
