scaffold	name1	name2	coverage_overlap	compared_bases_count	percent_genome_compared	length	consensus_SNPs	population_SNPs	conANI	popANI
kraken:taxid|1286|NZ_LT963435.1	SRR14346288.sorted.bam	SRR14346351.sorted.bam	0.0543200157449321	276	9.937877463810463e-05	2777253	0	0	1.0	1.0
kraken:taxid|1282|NZ_LR735437.1	SRR14346288.sorted.bam	SRR14346351.sorted.bam	0.0	0	0.0	2556537	0	0		
kraken:taxid|38289|NZ_LS483459.1	SRR14346288.sorted.bam	SRR14346351.sorted.bam	0.0	0	0.0	2414649	0	0		
kraken:taxid|456327|NZ_CP018467.1	SRR14346288.sorted.bam	SRR14346351.sorted.bam	0.0	0	0.0	5079107	0	0		
kraken:taxid|29382|NZ_LT963440.1	SRR14346288.sorted.bam	SRR14346351.sorted.bam	0.1422990232907588	947	0.0003490807969068	2712839	1	0	0.9989440337909188	1.0
kraken:taxid|562|NZ_CP026399.1	SRR14346288.sorted.bam	SRR14346351.sorted.bam	0.0	0	0.0	5277702	0	0		
kraken:taxid|1747|NZ_CP033718.1	SRR14346288.sorted.bam	SRR14346351.sorted.bam	0.001537600099544	173	6.932945195268605e-05	2495332	0	0	1.0	1.0
kraken:taxid|223967|NZ_CP039546.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0	0	0.0	5395646	0	0		
kraken:taxid|1286|NZ_LT963435.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.376328091797705	1771	0.0006376804705945	2777253	5	5	0.9971767363071712	0.9971767363071712
kraken:taxid|747|NZ_CP015569.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0	0	0.0	2530586	0	0		
kraken:taxid|33040|NZ_LR134307.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0	0	0.0	1890902	0	0		
kraken:taxid|1329|NZ_CP053790.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0261529247354761	131	6.086998542837601e-05	2152128	0	0	1.0	1.0
kraken:taxid|76860|NZ_CP029207.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0	0	0.0	1980997	0	0		
kraken:taxid|1282|NZ_LR735437.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.2465671641791045	413	0.0001615466547129	2556537	12	9	0.9709443099273608	0.9782082324455206
kraken:taxid|1326|NZ_LT906454.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.8098578881093722	9004	0.0038630330816183	2330811	124	73	0.986228342958685	0.9918924922256774
kraken:taxid|34073|NZ_CP102931.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.458254865034526	730	0.0001000720793141	7294742	12	11	0.9835616438356164	0.9849315068493152
kraken:taxid|1336|NC_011134.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0	0	0.0	2024171	0	0		
kraken:taxid|149016|NZ_LR134323.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0	0	0.0	2144000	0	0		
kraken:taxid|1747|NZ_CP033718.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0	0	0.0	2495332	0	0		
kraken:taxid|28450|NZ_CP009545.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.5782799169933134	2508	0.0006405709765668	3915257	65	57	0.9740829346092504	0.9772727272727272
kraken:taxid|29382|NZ_LT963440.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.6668594563331406	3459	0.0012750480216481	2712839	1	1	0.9997108991037872	0.9997108991037872
kraken:taxid|2202828|NZ_CP029551.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0	0	0.0	5539695	0	0		
kraken:taxid|1310|NZ_CP029490.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0	0	0.0	2198571	0	0		
kraken:taxid|1280|NZ_CP013953.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.1763584366062917	185	6.26026387181416e-05	2955147	1	0	0.9945945945945946	1.0
kraken:taxid|305|NZ_CP052068.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.3214030064423765	898	0.0002318483164662	3873222	31	27	0.965478841870824	0.9699331848552338
kraken:taxid|96344|NZ_CP069811.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.134982332155477	191	6.79883700731569e-05	2809304	1	1	0.9947643979057592	0.9947643979057592
kraken:taxid|1283|NZ_CP092476.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.1561307901907357	573	0.0002259125209944	2536380	3	2	0.9947643979057592	0.9965095986038396
kraken:taxid|29388|NZ_AP014956.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.214527027027027	762	0.0003073433275037	2479312	6	6	0.9921259842519684	0.9921259842519684
kraken:taxid|562|NZ_CP026399.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.0049914606873534	1020	0.0001932659327866	5277702	19	19	0.9813725490196078	0.9813725490196078
kraken:taxid|1290|NZ_LT963442.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.7348993288590604	219	9.794980765609688e-05	2235839	7	4	0.9680365296803652	0.9817351598173516
kraken:taxid|1396|NZ_CP115307.1	SRR14346299.sorted.bam	SRR14346387.sorted.bam	0.2688346883468834	992	0.0001865658659317	5317157	53	36	0.9465725806451613	0.9637096774193548
kraken:taxid|1326|NZ_LT906454.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	2330811	0	0		
kraken:taxid|223967|NZ_CP039546.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	5395646	0	0		
kraken:taxid|29442|NZ_CP020369.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	6856683	0	0		
kraken:taxid|29394|NZ_CP040412.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	1904333	0	0		
kraken:taxid|1280|NZ_CP013953.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	2955147	0	0		
kraken:taxid|76860|NZ_CP029207.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	1980997	0	0		
kraken:taxid|29382|NZ_LT963440.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	2712839	0	0		
kraken:taxid|1747|NZ_CP033718.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0008498336374776	448	0.000179535228178	2495332	3	2	0.9933035714285714	0.9955357142857144
kraken:taxid|1396|NZ_CP115307.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	5317157	0	0		
kraken:taxid|562|NZ_CP026399.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	5277702	0	0		
kraken:taxid|1283|NZ_CP092476.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	2536380	0	0		
kraken:taxid|33040|NZ_LR134307.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	1890902	0	0		
kraken:taxid|1282|NZ_LR735437.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	2556537	0	0		
kraken:taxid|29388|NZ_AP014956.1	SRR14346532.sorted.bam	SRR14346389.sorted.bam	0.0	0	0.0	2479312	0	0		
kraken:taxid|1310|NZ_CP029490.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.0083141125355361	155	7.050033862904587e-05	2198571	4	4	0.9741935483870968	0.9741935483870968
kraken:taxid|149016|NZ_LR134323.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.0082734533795196	289	0.0001347947761194	2144000	14	14	0.9515570934256056	0.9515570934256056
kraken:taxid|29388|NZ_AP014956.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.0089806729296858	217	8.75242809295482e-05	2479312	10	10	0.9539170506912442	0.9539170506912442
kraken:taxid|1336|NC_011134.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.0299839657936932	561	0.0002771504976605	2024171	25	25	0.9554367201426024	0.9554367201426024
kraken:taxid|1747|NZ_CP033718.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.0009721520112436	350	0.0001402618970141	2495332	5	5	0.9857142857142858	0.9857142857142858
kraken:taxid|1286|NZ_LT963435.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.3680532986675333	2265	0.0008155540744757	2777253	9	9	0.9960264900662252	0.9960264900662252
kraken:taxid|1329|NZ_CP053790.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.0062296239383682	300	0.0001393969131947	2152128	12	12	0.96	0.96
kraken:taxid|33040|NZ_LR134307.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.0051862230494155	248	0.0001311543379826	1890902	11	11	0.9556451612903226	0.9556451612903226
kraken:taxid|1396|NZ_CP115307.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.2099869167030091	1926	0.0003622236469602	5317157	87	64	0.9548286604361372	0.9667705088265836
kraken:taxid|1282|NZ_LR735437.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.0129151291512915	126	4.928542008193114e-05	2556537	2	2	0.984126984126984	0.984126984126984
kraken:taxid|29382|NZ_LT963440.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.2464046021093001	1285	0.000473673520618	2712839	1	0	0.9992217898832684	1.0
kraken:taxid|1326|NZ_LT906454.1	SRR14346402.sorted.bam	SRR14346505.sorted.bam	0.0111279333838001	294	0.000126136353398	2330811	11	11	0.9625850340136054	0.9625850340136054
kraken:taxid|1290|NZ_LT963442.1	SRR14346522.sorted.bam	SRR14346379.sorted.bam	0.0	0	0.0	2235839	0	0		
kraken:taxid|43770|NZ_CP066290.1	SRR14346522.sorted.bam	SRR14346379.sorted.bam	0.0	0	0.0	2952500	0	0		
kraken:taxid|562|NZ_CP026399.1	SRR14346522.sorted.bam	SRR14346379.sorted.bam	0.0	0	0.0	5277702	0	0		
kraken:taxid|1282|NZ_LR735437.1	SRR14346522.sorted.bam	SRR14346379.sorted.bam	0.0	0	0.0	2556537	0	0		
kraken:taxid|29388|NZ_AP014956.1	SRR14346522.sorted.bam	SRR14346379.sorted.bam	0.0	0	0.0	2479312	0	0		
kraken:taxid|2202828|NZ_CP029551.1	SRR14346522.sorted.bam	SRR14346379.sorted.bam	0.0	0	0.0	5539695	0	0		
kraken:taxid|1286|NZ_LT963435.1	SRR14346522.sorted.bam	SRR14346379.sorted.bam	0.1108870967741935	275	9.901870661405352e-05	2777253	0	0	1.0	1.0
kraken:taxid|1747|NZ_CP033718.1	SRR14346522.sorted.bam	SRR14346379.sorted.bam	0.0	0	0.0	2495332	0	0		
kraken:taxid|1842539|NZ_CP016464.1	SRR14346522.sorted.bam	SRR14346379.sorted.bam	0.0	0	0.0	4911382	0	0		
kraken:taxid|29382|NZ_LT963440.1	SRR14346522.sorted.bam	SRR14346379.sorted.bam	0.2407684630738523	965	0.0003557159123707	2712839	0	0	1.0	1.0
kraken:taxid|1286|NZ_LT963435.1	SRR14346591.sorted.bam	SRR14346370.sorted.bam	0.2267113250994347	1083	0.0003899536700473	2777253	0	0	1.0	1.0
kraken:taxid|223967|NZ_CP039546.1	SRR14346591.sorted.bam	SRR14346370.sorted.bam	0.0	0	0.0	5395646	0	0		
kraken:taxid|29442|NZ_CP020369.1	SRR14346591.sorted.bam	SRR14346370.sorted.bam	0.1173611111111111	169	2.464748625538033e-05	6856683	0	0	1.0	1.0
kraken:taxid|29388|NZ_AP014956.1	SRR14346591.sorted.bam	SRR14346370.sorted.bam	0.0	0	0.0	2479312	0	0		
kraken:taxid|1747|NZ_CP033718.1	SRR14346591.sorted.bam	SRR14346370.sorted.bam	0.0	0	0.0	2495332	0	0		
kraken:taxid|38289|NZ_LS483459.1	SRR14346591.sorted.bam	SRR14346370.sorted.bam	0.0	0	0.0	2414649	0	0		
kraken:taxid|29382|NZ_LT963440.1	SRR14346591.sorted.bam	SRR14346370.sorted.bam	0.3297533143144823	1965	0.0007243334381435	2712839	1	1	0.9994910941475827	0.9994910941475827
kraken:taxid|361101|NZ_LR595858.1	SRR14346591.sorted.bam	SRR14346370.sorted.bam	0.0	0	0.0	2121218	0	0		
kraken:taxid|1283|NZ_CP092476.1	SRR14346317.sorted.bam	SRR14346536.sorted.bam	0.0	0	0.0	2536380	0	0		
kraken:taxid|1329|NZ_CP053790.1	SRR14346317.sorted.bam	SRR14346536.sorted.bam	0.0139292045742338	715	0.0003322293097808	2152128	8	2	0.9888111888111888	0.9972027972027973
kraken:taxid|29382|NZ_LT963440.1	SRR14346317.sorted.bam	SRR14346536.sorted.bam	0.1472472581170594	1356	0.0004998453649479	2712839	6	5	0.995575221238938	0.9963126843657816
kraken:taxid|651|NZ_CP038445.1	SRR14346317.sorted.bam	SRR14346536.sorted.bam	0.0	0	0.0	4683582	0	0		
